t,base_x,base_y,base_z,base_yaw,site_x,site_y,site_z,tracking_error,solve_time_ms,iterations,converged
5.0843e-05,-1.2532141275685372e-06,1.7253729854876522e-08,0.0,-2.841576693003261e-07,0.576641536724259,0.0013453939442792202,0.7678367869973467,0.001118172,10.339382,29.0,1.0
0.020078174,1.9379902897575733e-06,2.0476088335741857e-05,0.0,0.00010300083876988804,0.5766283785593136,0.0013238838170919669,0.7658532262004653,0.006251982,10.307848,29.0,1.0
0.040006052,6.618665863810233e-05,0.0003469454761152799,0.0,0.0016330144742260405,0.5769501919825577,0.0013261756160899353,0.7641471468289045,0.009965708,10.958897,12.0,1.0
0.059989399,0.00018048143815986876,0.0008709470979599435,0.0,0.003571081723787091,0.5775169410416987,0.0013577393556051319,0.7629965442199838,0.012527863,10.290025,14.0,1.0
0.080017203,0.0002997848627874223,0.0013700157508560755,0.0,0.0052369006315772775,0.5781065933948129,0.0013360557579135894,0.762116088633506,0.015127122,10.189007,28.0,1.0
0.099981999,0.00034007112546743067,0.001515767374929469,0.0,0.006096689938282413,0.5782952607169048,0.0013550655885821335,0.7602487925795096,0.019658477,10.259491,26.0,1.0
0.119998382,0.00041738343086484794,0.001787550431451114,0.0,0.007598372274953819,0.5786537208448093,0.0013006477725365341,0.7587029718581636,0.02323068,10.081768,26.0,1.0
0.13998673,0.00044814079271333554,0.0018939816534270448,0.0,0.00858035128991458,0.5788845914336586,0.0011811453253337068,0.7568437656998481,0.027507887,10.475631,11.0,1.0
0.160003365,0.0005172228626771731,0.0021075775199182593,0.0,0.010278709333573968,0.5793165769926777,0.0009278782965469795,0.7553421455262543,0.030639198,10.19182,7.0,1.0
0.180104588,0.0005399372210628429,0.0021791495539522443,0.0,0.0110290086509706,0.5794891049163587,0.0007683016689224749,0.7537205867977907,0.035108237,10.838675,7.0,1.0
0.200129618,0.0006129122950628738,0.0023817930806510528,0.0,0.012924219617387354,0.5799220452732237,0.0004985499292153329,0.7522409761325087,0.038043479,10.340639,15.0,1.0
0.219985588,0.0006381572529127181,0.0024630948712009537,0.0,0.013799150084921828,0.5801376001317465,0.00021640408172619245,0.7505163567069262,0.042185874,10.038699,23.0,1.0
0.240097796,0.0006977964286778427,0.0026235569285508738,0.0,0.015525847288410033,0.5805292679834855,-9.868247359432435e-05,0.7491809948900217,0.045280128,10.163609,23.0,1.0
0.260017958,0.0007359708149248634,0.002729310948947727,0.0,0.016728536721878517,0.5807627520706057,-0.00031641321955578564,0.7473865081931876,0.049231394,10.315593,12.0,1.0
0.279983863,0.0008178326778282742,0.002932062363074258,0.0,0.01878254901323299,0.5812291771304315,-0.0005879961173834235,0.7459327839605873,0.051960163,10.309717,18.0,1.0
0.299981195,0.0008689555450080554,0.0030624153758619134,0.0,0.020206111554764622,0.5814869529258676,-0.0008178594602770622,0.7442035067096151,0.05565324,10.124972,15.0,1.0
0.319988924,0.0009531140210558276,0.0032591563310821227,0.0,0.022128110790666365,0.5819216767078166,-0.0010333664391988955,0.7429157093464213,0.058532209,10.043981,12.0,1.0
0.339983949,0.001007339457173707,0.003389381235550916,0.0,0.023553204056692326,0.5821681998134919,-0.001195808107895956,0.7411524519222465,0.06230151,10.129786,18.0,1.0
0.359984052,0.0011079356977733578,0.003613001816255076,0.0,0.02573516420939092,0.5826285656783634,-0.0013847864299018843,0.7398612280642168,0.064952345,10.129825,23.0,1.0
0.379984332,0.0011645826644512158,0.0037467441861208884,0.0,0.02709411072813564,0.5828767491933615,-0.0015611185666113728,0.7381062180939871,0.068724512,10.399235,10.0,1.0
0.399985794,0.0013152254881696314,0.004067166539405674,0.0,0.029888898344196765,0.5834669040089396,-0.0018715201790940944,0.7368049197419261,0.07048515,10.652888,8.0,1.0
0.419992505,0.001510613370367862,0.004458904125219962,0.0,0.03255905137385203,0.5842262866850425,-0.0022335541919725824,0.7360350798911907,0.071840639,10.109992,13.0,1.0
0.440007294,0.001590628701268002,0.0046204987972864025,0.0,0.03388737891588987,0.584468779322368,-0.002363388523761981,0.7343632383783488,0.075654598,10.730521,9.0,1.0
0.459988783,0.001800227968840106,0.005025671807793631,0.0,0.036834328649556394,0.5850588537495165,-0.002478134570301056,0.73294740198797,0.077480174,10.102318,13.0,1.0
0.479997344,0.002050255752595521,0.005491906597694793,0.0,0.03963301744265867,0.5858358452677348,-0.002593695455284156,0.7320414689722431,0.07898512,10.138507,24.0,1.0
0.50000381,0.0021489630919538246,0.005682850030495058,0.0,0.04103628769863639,0.5860850615449482,-0.0026205948416619645,0.7302953728652339,0.082771346,10.718198,15.0,1.0
0.519994353,0.002407286063983129,0.006159152038983962,0.0,0.04411528721239227,0.5867329702540689,-0.0027501555945799385,0.7289513673290019,0.084355361,11.112586,8.0,1.0
0.540051862,0.0027272951438311217,0.0067308523418264325,0.0,0.04706000405722245,0.5876105277567625,-0.0028829677170480504,0.7281770382870366,0.085501663,10.389626,9.0,1.0
0.560001088,0.002838490144077137,0.00693554998629686,0.0,0.04849059824715936,0.587882967060608,-0.0028936162004708967,0.7265104747004801,0.089191102,11.001464,8.0,1.0
0.579988873,0.0031327200071091816,0.007456550601714875,0.0,0.051671810148856634,0.5885437398649292,-0.002976305140812365,0.7251395888842814,0.090713424,10.44701,12.0,1.0
0.600045103,0.0034777848549856884,0.008050721054986464,0.0,0.054694433212519766,0.5894257026069399,-0.0030023133137879743,0.724290020301136,0.091946149,10.267511,20.0,1.0
0.620036028,0.003606153355622786,0.00827880288628576,0.0,0.05619151471975741,0.5896905311331639,-0.0029533932413087598,0.7225527973611383,0.095627757,10.307027,28.0,1.0
0.639986529,0.003972463229630473,0.008902870806718663,0.0,0.05981661369684443,0.5904469117203095,-0.0030434415550945086,0.721250712121507,0.096620716,10.113288,15.0,1.0
