t,primary_x,primary_y,primary_z,tracking_error,solve_time_ms,iterations,converged,tool_frame_x,tool_frame_y,tool_frame_z
0.000132627,2.99299936312348e-16,0.26614099997626944,2.387299999981089,4.0925e-05,4.132291,6.0,1.0,2.99299936312348e-16,0.26614099997626944,2.387299999981089
0.010575642,2.99299936312348e-16,0.26614099997626944,2.387299999981089,0.003278273,4.53036,7.0,1.0,2.99299936312348e-16,0.26614099997626944,2.387299999981089
0.016190287,2.992999671513771e-16,0.26614099997626944,2.387299999981089,0.005031003,4.212068,7.0,1.0,2.992999671513771e-16,0.26614099997626944,2.387299999981089
0.023975847,3.0434654456718775e-05,0.266140999501287,2.3872999995924724,0.00720966,4.31277,12.0,1.0,3.0434654456718775e-05,0.266140999501287,2.3872999995924724
0.032017569,0.00011230863255936847,0.26614099968114646,2.3872999927733263,0.009322912,4.258554,12.0,1.0,0.00011230863255936847,0.26614099968114646,2.3872999927733263
0.039980021,0.0002679993288082456,0.2661410081376645,2.3872999580322283,0.011241799,4.40683,8.0,1.0,0.0002679993288082456,0.2661410081376645,2.3872999580322283
0.047973642,0.00042466583618127533,0.26614102943905926,2.3872998980592457,0.013597895,4.436096,7.0,1.0,0.00042466583618127533,0.26614102943905926,2.3872998980592457
0.05597735,0.0005218523239871993,0.2661410430125661,2.3872998510557264,0.016029565,4.489738,8.0,1.0,0.0005218523239871993,0.2661410430125661,2.3872998510557264
0.063978877,0.0006350493254024611,0.26614106633916534,2.3872997804534237,0.018318576,4.261588,12.0,1.0,0.0006350493254024611,0.26614106633916534,2.3872997804534237
0.071988912,0.0007328920352567888,0.26614109363904853,2.3872997060852224,0.020699136,4.267278,12.0,1.0,0.0007328920352567888,0.26614109363904853,2.3872997060852224
0.079972771,0.0008172549878477911,0.26614112490546304,2.387299631144053,0.023028071,4.221439,12.0,1.0,0.0008172549878477911,0.26614112490546304,2.387299631144053
0.087970708,0.0009050383531776692,0.26614118312952006,2.38729952778012,0.025169576,4.303217,12.0,1.0,0.0009050383531776692,0.26614118312952006,2.38729952778012
0.098131746,0.000983117346033046,0.2661412281238185,2.3872994369353,0.028354986,4.297362,12.0,1.0,0.000983117346033046,0.2661412281238185,2.3872994369353
0.103972911,0.001037172375192434,0.2661412689395528,2.3872993660023014,0.030056558,4.244968,12.0,1.0,0.001037172375192434,0.2661412689395528,2.3872993660023014
0.112019635,0.0011053747433673582,0.266141327519306,2.3872992673939954,0.032491145,4.327739,12.0,1.0,0.0011053747433673582,0.266141327519306,2.3872992673939954
0.119974201,0.0011707282818697476,0.2661414018207301,2.387299159422528,0.034819201,4.245194,12.0,1.0,0.0011707282818697476,0.2661414018207301,2.387299159422528
0.127970734,0.001241974233918398,0.2661415103687969,2.3872990184379694,0.037050209,4.240038,12.0,1.0,0.001241974233918398,0.2661415103687969,2.3872990184379694
0.135974926,0.0013093259090410805,0.2661415921483867,2.3872988958288173,0.039579847,4.286987,12.0,1.0,0.0013093259090410805,0.2661415921483867,2.3872988958288173
0.143971707,0.001373950531965795,0.2661416964948125,2.3872987615637826,0.041967226,4.32235,10.0,1.0,0.001373950531965795,0.2661416964948125,2.3872987615637826
0.15198598,0.0014292347122860421,0.26614181889686833,2.387298621502575,0.044329635,4.41317,8.0,1.0,0.0014292347122860421,0.26614181889686833,2.387298621502575
0.159980946,0.001503934829527369,0.26614195813471125,2.3872984438674894,0.046804314,4.337147,10.0,1.0,0.001503934829527369,0.26614195813471125,2.3872984438674894
0.16799041,0.0015714522179761721,0.2661420905249608,2.387298282952202,0.049279281,4.495942,8.0,1.0,0.0015714522179761721,0.2661420905249608,2.387298282952202
0.175978184,0.0016471872301666653,0.26614230400772787,2.387298054724305,0.05156281,4.29795,8.0,1.0,0.0016471872301666653,0.26614230400772787,2.387298054724305
0.183989933,0.0017443485764544633,0.26614262728798144,2.387297722033934,0.053680932,4.041605,10.0,1.0,0.0017443485764544633,0.26614262728798144,2.387297722033934
