case_name,robot,backend,num_cycles,tracking_rmse,tracking_mean,tracking_p95,torque_ratio_mean,torque_ratio_p95,torque_ratio_max,solve_time_mean_ms,solve_time_p95_ms,reference_build_mean_ms,reference_build_p95_ms,problem_build_mean_ms,problem_build_p95_ms,warm_start_mean_ms,warm_start_p95_ms,initial_calc_mean_ms,initial_calc_p95_ms,solver_setup_mean_ms,solver_setup_p95_ms,mpc_pipeline_mean_ms,mpc_pipeline_p95_ms,publish_command_mean_ms,publish_command_p95_ms,solver_dam_calc_mean_ms,solver_dam_calc_p95_ms,solver_dam_calcdiff_mean_ms,solver_dam_calcdiff_p95_ms,solver_dynamics_calc_mean_ms,solver_dynamics_calc_p95_ms,solver_dynamics_calcdiff_mean_ms,solver_dynamics_calcdiff_p95_ms,solver_cost_sum_calc_mean_ms,solver_cost_sum_calc_p95_ms,solver_cost_sum_calcdiff_mean_ms,solver_cost_sum_calcdiff_p95_ms,solver_cost_item_total_mean_ms,solver_cost_item_total_p95_ms,solver_collision_cost_total_mean_ms,solver_collision_cost_total_p95_ms,solver_collision_residual_total_mean_ms,solver_collision_residual_total_p95_ms,solver_model_total_mean_ms,solver_model_total_p95_ms,solver_overhead_mean_ms,solver_overhead_p95_ms,initial_model_total_mean_ms,initial_model_total_p95_ms,enable_collision_cost,collision_obstacle_count,collision_weight,collision_safety_distance,realtime_ratio_mean,deadline_miss_rate,failure_rate,dt,horizon,solve_budget_ms,control_rate_hz,experiment_duration_s,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque
runtime_tetrapga_collision,ur,tetrapga,166,0.446407432,0.372260883,0.52236093,0.104631661,1,1,39.017127012,46.823497,0.070525488,0.073883,2.034786578,2.125198,0.018900801,0.021461,6.466185512,6.746608,0.039486048,0.048421,48.07218688,55.741203,0.034646801,0.042548,17.011471,25.206523,21.525445145,22.726209,14.364436259,21.289336,17.1279755,17.970207,2.621242446,3.880133,4.251042337,4.606088,6.768278801,7.907743,6.714930536,7.849939,6.646138916,7.776973,38.536916145,46.328329,0.480210867,0.512445,6.457399801,6.736004,1,4,50,0.08,4.877140877,1,0,0.008,40,4,125,8,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
runtime_tetrapga_nominal,ur,tetrapga,196,0.45478968,0.3789207,0.508960381,0.102370665,1,1,32.907594046,38.710901,0.070716485,0.074513,1.635696168,1.696559,0.018721908,0.020415,5.613278857,5.778221,0.037732347,0.043927,40.63459626,46.290254,0.033439612,0.042124,14.926734791,21.364174,17.509245898,17.963393,14.840634056,21.234414,17.314915138,17.762096,0.060701219,0.096127,0.060878026,0.078834,0.052785082,0.076134,0,0,0,0,32.435980689,38.233324,0.471613357,0.499473,5.605025102,5.768994,0,4,50,0.08,4.113449256,1,0,0.008,40,4,125,8,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
