t,primary_x,primary_y,primary_z,tracking_error,solve_time_ms,iterations,converged,index_tip_x,index_tip_y,index_tip_z,middle_tip_x,middle_tip_y,middle_tip_z,ring_tip_x,ring_tip_y,ring_tip_z,thumb_tip_x,thumb_tip_y,thumb_tip_z
8.2177e-05,-0.008934749908845078,0.09478037434082412,0.09367443998637934,0.013744916,10.07771,5.0,1.0,0.04026457021099734,0.10062017763463,0.09338478889226368,0.04026457021099734,0.05522017763463003,0.09338478889226368,0.04025457082755021,0.009820177634840258,0.0933848397310613,-0.1565227108849252,0.2134609644591962,0.0945433424299287
0.019952119,-0.00894062590019501,0.0947714514753249,0.09077810127369379,0.05905522,8.10952,6.0,1.0,0.040256789290591594,0.10062009693852904,0.09034080344443594,0.040256789290591594,0.05522009693852904,0.09034080344443594,0.04024679459805957,0.009820096941301999,0.09034110132353314,-0.1565228767800228,0.21342551508293947,0.09208969688237009
0.040054682,-0.009017204326318713,0.0948371193151627,0.08911800508404816,0.084764764,8.971897,4.0,1.0,0.04021530597072413,0.10068478583946844,0.08854374823504843,0.04021874284943398,0.05542027133599288,0.0886854500766137,0.04020315553649796,0.00985279815324107,0.0884373882727793,-0.15670602166193093,0.21339062193194838,0.0908054337517512
0.059935856,-0.00906961651089817,0.0949534813736779,0.090508652507136,0.066492157,8.493408,7.0,1.0,0.04024820093215508,0.10078984254434703,0.09000144813535739,0.040253822075717545,0.055691196835562624,0.09050693469748418,0.040237227926905886,0.00990860465923479,0.08977185043866041,-0.1570177169783712,0.21342428145556713,0.091754376757042
0.079937191,-0.009116641586722728,0.0950408654712959,0.09176695479816706,0.050294094,9.037694,7.0,1.0,0.04026266787811505,0.10087714686617841,0.09140129403239085,0.040261023296079515,0.055893854088964745,0.09221598497721142,0.04025614381616788,0.00995006840081555,0.09105556842301742,-0.15724640133725334,0.2134423925292249,0.09239497176004852
0.099931611,-0.009172453676869599,0.09512189155130286,0.09192147487756033,0.050468009,9.132286,5.0,1.0,0.04026126359005865,0.10096764686674169,0.09164921272813947,0.04025504160036257,0.056094669312236396,0.092705209122333,0.04025729782904905,0.009986701195314876,0.09117983150916112,-0.15746341772694866,0.2134385488309185,0.0921516461506078
0.119897452,-0.00920651896317394,0.09513317238849606,0.08985910333328771,0.083183084,8.3301,5.0,1.0,0.04023310643902306,0.1009968039666921,0.08949661576947314,0.04024603421942327,0.056158434305493235,0.09062993742728152,0.04021830772312859,0.009994504176517626,0.08895604180252406,-0.15752352423427068,0.21338294710528125,0.09035381833387214
0.139950074,-0.009285379581186554,0.09517783119441248,0.08822139065602094,0.109463388,8.441567,7.0,1.0,0.040182255286195304,0.10106732328189491,0.08778080151638237,0.040212432935029255,0.05631899644360162,0.08902810232753794,0.04015456191414479,0.010002276648303278,0.08710702929569376,-0.15769076846011557,0.21332272840385014,0.08896962948446971
0.15993528,-0.009352263276358089,0.09527836981242169,0.08837155627070511,0.109328103,8.528896,8.0,1.0,0.04018670569340496,0.10119859703416216,0.08800691505174126,0.04021635428508115,0.056572819304209626,0.0894657954018463,0.04015506591684507,0.010022514108066352,0.08712029061422222,-0.15796717900076354,0.2133195488032486,0.08889322401501074
0.179900382,-0.009402676243633657,0.09538362688892227,0.08924714036750783,0.098547142,8.044164,9.0,1.0,0.040213186006020696,0.10133372704793212,0.0890562819996211,0.040229988759753615,0.056819782524739945,0.09077179493657993,0.04018618490068458,0.010044784739127705,0.08792201255213679,-0.15824006464099352,0.2133362132438893,0.08923847198169357
0.199948974,-0.009450488462696444,0.09545657772136637,0.08953828754237345,0.096587686,8.377257,9.0,1.0,0.040219172154870406,0.10143575790152815,0.08948545027534346,0.04022852296097816,0.05700133379582715,0.09139384760058908,0.04019387189350373,0.010058734118228437,0.08813967049645331,-0.15844352086013808,0.21333048506988178,0.08913418179710789
0.219931107,-0.009523273842222131,0.09546386069747878,0.08737894627883913,0.130685977,8.179041,9.0,1.0,0.04015035138231328,0.10148449151577675,0.08727140553396806,0.040195014541859524,0.057087390645817644,0.0892550787497622,0.040091519344900885,0.010062162771438765,0.08578761280888764,-0.1585299806379622,0.213221397856882,0.08720168802273863
0.239935919,-0.009621412796364373,0.09551025543391196,0.08596942145106848,0.153430883,8.204264,9.0,1.0,0.040081979069954185,0.10158313351808135,0.08583003940411842,0.040150442611445736,0.05725740646626623,0.08789333021699565,0.03999293266804827,0.010063329024888889,0.08415515754061642,-0.1587110055349057,0.2131371527264114,0.0859991586425434
0.25993152,-0.009675099380479606,0.09560457329281853,0.08625510807420522,0.151159428,8.329719,9.0,1.0,0.040097055562710586,0.10172864687153392,0.08623778921253063,0.040159489774687834,0.05748659935578984,0.0884403596623045,0.040001467628875964,0.010064289082971469,0.08428973601626352,-0.15895841048819281,0.2131387578609789,0.08605254740572219
0.279937492,-0.009711176704979299,0.09571588839730791,0.08727952196090345,0.138037783,9.192984,4.0,1.0,0.040143841121303904,0.10189385613620836,0.08750334103694599,0.04018332058409622,0.05773653258820491,0.08990211706758722,0.04005752856446211,0.010064504511578684,0.08519543783143392,-0.15922939708977943,0.21316866035323967,0.08651719190764669
0.299946824,-0.009750156586707841,0.09580621242625281,0.08799516697444082,0.129454177,8.17257,5.0,1.0,0.04016825723597725,0.10203578837998034,0.08843799135407764,0.040187742455531895,0.05794448174673779,0.09098449783039504,0.04009146209293342,0.01006305165145502,0.08580531822690216,-0.15944808813127392,0.2131815279268381,0.08675286048638842
0.319952399,-0.009807220743246577,0.09588984545994825,0.08814586983622764,0.129361392,8.193754,3.0,1.0,0.04016999407530178,0.1021822484280577,0.08876847276429392,0.04018016994261245,0.058153206610587545,0.09143948324584912,0.04009153617208845,0.010058901573164787,0.08580576987694091,-0.159670583162989,0.213165025227983,0.08656975345782665
0.339940477,-0.00988597605420393,0.09588336921444404,0.08607235656194877,0.161997234,8.483624,5.0,1.0,0.040093715784776184,0.1022334974207591,0.08665686375323402,0.040149734292069715,0.05822316268149311,0.08936078369738314,0.03994813062174128,0.010053554377256071,0.08353324204227704,-0.1597354849154029,0.21302326237826785,0.08473853675490091
0.359949104,-0.009980690417643219,0.09593563612079574,0.0849919336303773,0.179632139,8.67566,8.0,1.0,0.04003723762173658,0.10236485717087203,0.08560022094955355,0.04011504068788327,0.05839799637815842,0.08832375997886854,0.03984464031138257,0.010041068829880408,0.08222309586439376,-0.1599196802915753,0.2129386221042721,0.08382065772869332
