case,last_success_dof,first_failure_dof,first_failure_status,last_success_peak_rss_mb,last_success_graph_build_s,tested_dofs
aba_fo,407,408,rss_limit,19927.918,345.651891835,64 127 128 192 255 256 320 384 400 401 402 403 404 405 406 407 408 416 448
rnea_fo,413,414,rss_limit,19843.461,157.139863698,64 127 128 192 255 256 320 384 400 408 409 410 411 412 413 414 416 448
