case,meaning,memory_policy,last_success_dof,first_failure_dof,first_failure_status,last_success_peak_rss_mb,last_success_graph_build_s,notes
aba_fo,ABA first-order CasADi graph used by forward-dynamics OCP baseline,"RLIMIT_AS=20GiB; no RSS kill; no timeout",410,411,exit_2,20330.105,359.968209537,"410 DoF succeeded under the 20GiB address-space cap; 411 DoF failed with bad_alloc/exit_2. This run deliberately disables the 19.5GiB RSS protection line and wall-clock timeout."
rnea_fo,RNEA first-order CasADi graph used by inverse-dynamics OCP baseline,"RLIMIT_AS=20GiB; no RSS kill; no timeout",417,418,exit_2,20421.199,166.434337003,"417 DoF succeeded under the 20GiB address-space cap; 418 DoF failed with bad_alloc/exit_2. This run deliberately disables the 19.5GiB RSS protection line and wall-clock timeout."
rnea_so,RNEA second-order CasADi graph for component-level ID-SO baseline,"RLIMIT_AS=20GiB; no RSS kill; no timeout",72,,,293.246,701.724794744,"72 DoF completed under the 20GiB address-space cap with no timeout and no RSS kill; no OOM boundary was reached in this second-order check, so the observed limitation remains graph-construction time."
