robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000070573,0.000021776,0.308570612,0,16.030555,0.063278,2.126114,0.010051,4.662907,0.097249,23.140665,0.057914,6.5897,9.171281,6.551939,9.065066,0.026199,0.03719,0.028066,0.010063,0.008908,0.009095,0,0,15.760981,0.269574,42,21,4.643416,0.024202,4.643416,23.27802,0.80152775,1,0,0,0.007617266,0.013447524,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,8.2305789427354972e-20 -1.5707963267948966 -2.8515588371662833e-20 -1.5707963267948966 -1.864004180050363e-21 1.5383344546298059e-22,7.3485245289637818e-18 2.5953573450452272e-17 -2.6062124230049648e-18 2.297594798735458e-18 -1.3675209276686566e-19 1.3259569819847734e-20,1.0629536194205627e-06 -1.5707911434487583 9.5394943517921844e-06 -1.5707851891719058 1.1040594929119706e-05 1.0452622501534897e-05,0.015072716101955923 0.073455573782819611 0.13518019162236355 0.15782216203047514 0.15644417408011385 0.14811014754528895,0.00036460104897887211 -1.5692712469566004 0.0027592211446085617 -1.5676001607048038 0.0031507659706600517 0.0029687733110390028,0.02128040673782185 0.078527073435826988 0.13977356176485137 0.16066252102269848 0.15750924964214111 0.14770880405630568,0 0 0 0 0 0,-3.3729988292581903e-15 0 9.3570090612457312e-16 0 2.8042007543762734e-17 -2.7063952924694374e-18
ur,tetrapga,0.02339749,0.007293332,0.314902927,0,15.144714,0.038285,0.780297,0.010343,2.920653,0.024083,19.03482,0.028863,5.810151,9.102724,5.783531,9.007646,0.017137,0.02687,0.018226,0.005953,0.005951,0.006322,0,0,14.912875,0.231839,42,21,2.916911,0.008732,2.916911,19.114359,0.7572357,1,0,0,0.019841642,0.005077842,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,8.2305789427354972e-20 -1.5707963267948966 -2.8515588371662833e-20 -1.5707963267948966 -1.864004180050363e-21 1.5383344546298059e-22,7.3485245289637818e-18 2.5953573450452272e-17 -2.6062124230049648e-18 2.297594798735458e-18 -1.3675209276686566e-19 1.3259569819847734e-20,0.0004371162121273299 -1.5690085970945149 0.0032254938562227852 -1.5670648806707077 0.0036750632466033767 0.0034600650981826296,0.022312577733634521 0.079366574100031492 0.14052921639245053 0.16112440185312527 0.15767528555410273 0.14763441281015718,0.00085224357404549195 -1.5676503478140065 0.0055998985354105447 -1.5643594193291874 0.0063106445438783207 0.0059182809563481939,0.027482750047727149 0.083555478221631382 0.14427941867456881 0.16339323190923141 0.15845942151723169 0.14722888722909808,0 0 0 0 0 0,-3.3729988292581903e-15 0 9.3570090612457312e-16 0 2.8042007543762734e-17 -2.7063952924694374e-18
ur,tetrapga,0.04260142,0.013389429,0.320118499,0,15.165199,0.036753,0.819069,0.011015,2.926157,0.021762,19.092864,0.024122,5.825745,9.105881,5.799224,9.014166,0.017123,0.024975,0.01815,0.005731,0.006138,0.006281,0,0,14.931626,0.233573,42,21,2.922194,0.008879,2.922194,19.166948,0.75825995,1,0,0,0.029291137,0.018476315,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,9.6986690456400379e-20 -1.5707963267948966 -3.3669760802512227e-20 -1.5707963267948966 -2.1382583703429445e-21 1.8034741510668074e-22,7.3404505145227034e-18 2.9922881863928312e-17 -2.5770862154246966e-18 2.6440274012663906e-18 -1.3712709514629077e-19 1.3256984821850074e-20,0.00092279077637705915 -1.5674380803576113 0.005965761467796136 -1.5639454683893466 0.0067118232450149879 0.0062908110896952819,0.028267104022634677 0.084188603591641667 0.14484325797775349 0.1637309007279327 0.15857144729108474 0.14716257063666713,0.0009550030098243133 -1.5709016565223703 0.0023123985281371276 -1.5672231932611873 0.003529706886516896 0.0032482011878213635,0.047750150491215664 -0.0052664863736898724 0.11561992640685638 0.17865667668546359 0.17648534432584481 0.16241005939106817,-2.0993892342376776 25.184278330993955 13.554364182202768 1.1949662484899519 -0.19552841644654728 0.0076741429938644457,-3.3729727587943763e-15 0 9.3041783501277228e-16 0 2.7897426924440596e-17 -2.7049522432489377e-18
ur,tetrapga,0.061853337,0.019599324,0.325337914,0,15.310678,0.036595,0.866136,0.010086,2.94333,0.023587,19.348545,0.032776,5.877925,9.189244,5.842349,9.088663,0.025245,0.031991,0.026798,0.007818,0.010211,0.008769,0,0,15.067169,0.243509,42,21,2.939095,0.009779,2.939095,19.430894,0.7655339,1,0,0,0.034826357,0.002367554,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,2.4262052026652414e-19 -1.5707963267948966 -8.0828899761905494e-20 -1.5707963267948966 -4.9921981973857054e-21 4.4580433289785256e-22,7.2333474267784336e-18 6.9244370309622106e-17 -2.1718551023771203e-18 6.1577066597105123e-18 -1.4759950041573706e-19 1.3290322229728206e-20,0.001524389505689763 -1.5657710920374088 0.008795237112354852 -1.5607690056647721 0.0097724196693109392 0.0091188383831814403,0.034229001402898196 0.088980553130261 0.1490849406163953 0.16624108569624033 0.15936309160435691 0.14661712638579386,0.0011226074398837066 -1.570887079577256 0.0024587594732022734 -1.5670259152050992 0.0036936458146592794 0.0033733828948576683,0.056130371994185309 -0.0045376391179791746 0.12293797366011366 0.18852057948987461 0.18468229073296397 0.16866914474288339,-2.1698931110331219 26.9599830944465 14.51331983149506 1.2745846570941026 -0.20834096785841566 0.0080850309991727445,-3.3250144469709934e-15 0 7.9014223460599095e-16 0 2.9886921965509848e-17 -2.7104036116322414e-18
ur,tetrapga,0.081352035,0.025313351,0.282391053,0.020844794,15.135828,0.036673,0.838812,0.010271,2.919744,0.021549,19.076345,0.021322,5.819051,9.088517,5.791717,8.998133,0.016948,0.023854,0.018218,0.00553,0.006355,0.006333,0,0,14.907568,0.22826,42,21,2.915957,0.009124,2.915957,19.145664,0.7567914,1,0,0,0.036955799,0.00446345,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,6.9276550374356745e-05 -1.5708150570023403 0.0002150852510005082 -1.5703960116770068 0.00040299935515099614 0.00037622827716775597,0.0049884930370661116 0.0010926977303605799 0.017829096202386291 0.027865172406028278 0.028114078002957506 0.026321748153082643,0.0022506016641377466 -1.5639891329624318 0.011743381117461487 -1.557503594409769 0.012886723025643315 0.01197169785801918,0.040257422516293148 0.093788982641971205 0.15329429964544936 0.16867736675898837 0.16005561442138025 0.14599105816247673,0.0013523010039872953 -1.5707782570101141 0.002870292710569349 -1.566440535901658 0.0042408242856705565 0.0038561632042693464,0.064151222680646935 0.001839999611305113 0.13276037297844201 0.19777378876743654 0.19189124652597803 0.1739967463550795,-2.2577615157423621 27.632042282604779 14.594470646525689 1.2592845649817523 -0.2089957314130037 0.0073654570114124731,-0.96246511928149348 6.8787819707467861 2.8715590822358212 0.045665053070479189 -0.1319647419213501 -0.080505991423279966
ur,tetrapga,0.100574303,0.030199947,0.243926899,0.032521789,15.155753,0.037011,0.799895,0.010894,2.949832,0.021953,19.096021,0.024647,5.825758,9.100194,5.799183,9.008848,0.017075,0.024499,0.017875,0.005545,0.005538,0.006792,0,0,14.925952,0.229801,42,21,2.945798,0.009018,2.945798,19.169404,0.75778765,1,0,0,0.038197619,0.006251462,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,0.00022681679769608778 -1.5707434087993739 0.00076509116278306846 -1.5695332283224717 0.0012644721765451773 0.0011790859142592352,0.0094540104113360907 0.0087239338518670124 0.036766683459723469 0.051759437913058322 0.051564342860533893 0.048117126758570092,0.0030814650765027874 -1.5621411056013588 0.014729230498657504 -1.5542389953369073 0.015969051256727238 0.014771465581525377,0.046188427353640954 0.098483063665417647 0.15735679597085617 0.17097353466046133 0.16063041890332208 0.14530163398093973,0.0016538776011896716 -1.5704861863343569 0.0036401990094051782 -1.5654148381529065 0.005219755420544132 0.0047410914321823613,0.071353040174679194 0.012861123250850212 0.14375539233110549 0.20591950847826282 0.19776416219994775 0.17810027589615629,-2.1981177918224959 27.185183739510329 14.207931854512942 1.2106202114972344 -0.20222637815119621 0.0067195727344292492,-1.529456958574388 10.732190470948808 4.3973953535380446 0.013145574287591444 -0.22882626637613335 -0.14761027647315039
ur,tetrapga,0.119994859,0.03432191,0.308845806,0.008897211,15.176915,0.037243,0.926511,0.010298,2.937853,0.018541,19.225688,0.024623,5.83086,9.113258,5.804742,9.020604,0.015662,0.024327,0.016586,0.005362,0.005551,0.005673,0,0,14.944118,0.232797,42,21,2.933922,0.008588,2.933922,19.300127,0.75884575,1,0,0,0.051130705,0.000376185,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,0.00057402160753117887 -1.5702883127101901 0.0019003686154533813 -1.5682447598485652 0.0024894641522036037 0.0022994839176940082,0.0070886673164465416 0.0010265513273228978 0.013388573982957043 0.018657178242519279 0.017678121206379502 0.015806234553681943,0.004036542224480833 -1.56018284902447 0.017824318332411156 -1.5508969359156299 0.019093341340952037 0.017585954197243771,0.052166339779222151 0.10317709357742569 0.16137151782310744 0.17318589513953281 0.16110214188645214 0.14453259712372166,0.0021972592075212715 -1.5702367863293447 0.0047754249227026056 -1.5639972410618828 0.0065475551092663686 0.0059272697649619148,0.081161879999504624 0.002576319042270534 0.14375281536246118 0.21237593933411583 0.20290454785313827 0.18138929236339532,-2.4267196289737618 31.061345052380684 16.437770229940316 1.4131988894355088 -0.23258012036555836 0.0083506673880979626,0.32710923837846284 -2.7685532487867022 -1.3345816529272412 -0.22071992108612903 -0.033335592876925446 -0.048850116591668602
ur,tetrapga,0.139993215,0.040375925,0.306566152,0.003232681,15.174577,0.036815,0.852145,0.011257,2.957184,0.020976,19.166703,0.02133,5.819347,9.118661,5.792579,9.026551,0.017524,0.025331,0.018912,0.006358,0.006065,0.006489,0,0,14.938008,0.236569,42,21,2.952729,0.009441,2.952729,19.236724,0.75872885,1,0,0,0.06051423,0.001345838,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,0.00075196357860633919 -1.5702995098541328 0.002205971055390291 -1.5677640291965831 0.0029488355191382857 0.0027105139637479728,0.0090217629867664819 -0.00083725545901696015 0.015398187653429641 0.024003208595704258 0.023025937213707361 0.02061755328919666,0.0051411937595521075 -1.5580715818962581 0.021092025249995386 -1.5474116688314141 0.022319023783100012 0.020467820049020095,0.058304762383993389 0.10795785607487578 0.16540964029711094 0.17535010294162925 0.16147321260550759 0.14366489626802131,0.0025672786097976968 -1.5702391650931327 0.0052197344243290417 -1.5633353021381629 0.0071482833827627625 0.0064397124623456394,0.09076575155956787 0.0030172380500024811 0.15068816844693755 0.22143635292100713 0.20997239318122385 0.18645992492988334,-2.5675723086719024 33.154553175236146 17.45356555263033 1.4902002128391385 -0.24628020378107723 0.0085411383300516824,-0.0022550218847934289 -0.44654610923680593 -0.36014708190357148 -0.1810301188743324 -0.064934544442596831 -0.063598424474761828
ur,tetrapga,0.160001439,0.046354705,0.298381313,0.00333295,14.285635,0.039686,0.85577,0.010411,2.74298,0.020637,18.068796,0.024841,5.468149,8.592202,5.441305,8.497827,0.017359,0.026464,0.018427,0.006224,0.005936,0.006267,0,0,14.060351,0.225284,42,21,2.73915,0.009002,2.73915,18.147989,0.71428175,1,0,0,0.069974219,0.001211961,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,0.00098071109131370724 -1.5703331040590818 0.0025803902760531405 -1.567169110968722 0.0035165776158026939 0.0032175294632515988,0.012651494119365241 -0.0012140438980755902 0.021388654730460071 0.032252840253926267 0.030788476587882946 0.027513192816019525,0.0063690433622212318 -1.5558641493768728 0.024441169214437404 -1.5438825356342469 0.025552558253116645 0.023332976186746096,0.064426188126444045 0.1126851926915452 0.16935037426206806 0.1773986067683023 0.16172788267826657 0.14272022682202098,0.0029869340129029262 -1.5702233813364836 0.0057489514243284096 -1.5625635516670491 0.0078499136660220761 0.0070411483251930102,0.10031114607946097 0.0054861361299017846 0.15842805741376345 0.23027796508365272 0.21666680251096909 0.19118094309707059,-2.7009173132798963 34.866237143544524 18.224595456787636 1.5452478190673209 -0.25645566929302605 0.0085923505805199762,-0.2320650079065274 1.092447555288345 0.24946426445595193 -0.18664518462628621 -0.098495121007539765 -0.08481227838828076
ur,tetrapga,0.180116907,0.052327441,0.303266449,0.003702855,14.262081,0.039243,0.852814,0.010569,2.748105,0.028005,18.058902,0.026069,5.459463,8.577296,5.43286,8.484941,0.016137,0.024854,0.017792,0.006108,0.005599,0.006085,0,0,14.036759,0.225322,42,21,2.743719,0.009279,2.743719,18.137824,0.71310405,1,0,0,0.081295507,0.000579239,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0,,0.0012573868457306688 -1.5703458951749409 0.0030290102362673503 -1.5664940878467311 0.0041553078974860165 0.0037848646597450188,0.013432305225868753 0.00010440291520159595 0.022066475634468462 0.032178618543312422 0.030381293560036087 0.026955977348898923,0.0077267162965889312 -1.553550119614957 0.027886725138225998 -1.5402943598515491 0.028807380101367259 0.026193665030626239,0.070557776047316001 0.11737955398587875 0.17321017184953308 0.17933933917996039 0.16186628950265974 0.14169376430411876,0.0034573640377185194 -1.5701889617796965 0.0063458444674365563 -1.5617153872537726 0.0086178689064500668 0.0076981266040767101,0.10999885959939254 0.0078466697622227091 0.16584171155846031 0.23893502964792449 0.22312805044820253 0.19566309721658456,-2.7633876827852886 36.605724280875897 19.144663645362549 1.619125065865711 -0.26820876924130826 0.0089586778709567303,-0.16241535801363227 0.52748537622665026 -0.014106171444442595 -0.20735989790318854 -0.092875882717789793 -0.083138305034914595
