case_name,cycles_file,summary_file,num_cycles,dt_estimate_s,tracking_rmse,tracking_mean,tracking_p95,velocity_rmse,solve_time_mean_ms,solve_time_p95_ms,torque_ratio_mean,torque_ratio_p95,failure_rate,accel_rms_norm,jerk_rms_norm_from_dq,jerk_rms_norm_from_q,torque_rate_rms_norm,effort_rate_rms_norm,robot,backend,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque
com_01cm_x_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_01cm_x_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_01cm_x_tetrapga_summary.csv,919,0.020326162,0.200950029,0.196296097,0.255158333,0.192502797,17.4514604,23.9008459,0.134529112,0.298371936,0,3.67592816,292.465649,974.979243,814.181906,1429.6265,ur,tetrapga,1,5,5,1,0.01 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_01cm_y_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_01cm_y_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_01cm_y_tetrapga_summary.csv,920,0.021000714,0.199472224,0.194993857,0.26043972,0.188726869,17.4070062,22.5318619,0.131171457,0.281797298,0,3.56511289,274.314077,828.397893,801.587697,1405.26166,ur,tetrapga,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_01cm_z_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_01cm_z_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_01cm_z_tetrapga_summary.csv,921,0.020924018,0.199335371,0.194333437,0.265525082,0.190242666,17.3509255,23.936405,0.12972389,0.294611948,0,3.62450744,271.885853,980.6709,807.386421,1417.13546,ur,tetrapga,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_x_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_02cm_x_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_02cm_x_tetrapga_summary.csv,918,0.020896079,0.200082394,0.195623943,0.25650538,0.192899628,17.4541821,23.0850605,0.138808219,0.30628881,0,4.03381704,308.373346,863.690139,816.253845,1569.78337,ur,tetrapga,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_y_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_02cm_y_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_02cm_y_tetrapga_summary.csv,931,0.020983357,0.195835305,0.191018914,0.244760341,0.185352481,17.1061053,22.5222925,0.128137871,0.270448691,0,3.28769971,248.677506,964.909851,765.906707,1207.80633,ur,tetrapga,1,5,5,1,0 0.02 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_z_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_02cm_z_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_02cm_z_tetrapga_summary.csv,929,0.0209314,0.198953103,0.194122037,0.260677779,0.190724712,17.204518,22.5342688,0.131886794,0.270077849,0,3.58675262,270.582654,961.309213,796.580445,1371.88437,ur,tetrapga,1,5,5,1,0 0 0.070000000000000007,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_x_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_05cm_x_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_05cm_x_tetrapga_summary.csv,922,0.02088733,0.20252896,0.196943529,0.271954547,0.19053655,17.3932846,22.534433,0.145732798,0.343561614,0,3.92730086,311.229945,882.065866,835.089635,1592.85837,ur,tetrapga,1,5,5,1,0.050000000000000003 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_y_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_05cm_y_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_05cm_y_tetrapga_summary.csv,935,0.0208772565,0.192979717,0.18836456,0.241817871,0.183017068,16.9396515,22.5268475,0.139105919,0.285876015,0,3.26428201,247.472022,1296.05057,784.808094,1254.56059,ur,tetrapga,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_z_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_05cm_z_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/com_05cm_z_tetrapga_summary.csv,923,0.02094632,0.198681428,0.194195461,0.246073011,0.193667999,17.4536789,22.5697267,0.139621477,0.307037741,0,3.95575997,300.214454,858.327764,810.160526,1516.83445,ur,tetrapga,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
external_10N_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/external_10N_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260626_233107/external_10N_tetrapga_summary.csv,979,0.0199991985,0.192163573,0.186643697,0.26020963,0.216542847,15.6995906,19.3022212,0.130542321,0.2332305,0,7.85463398,632.651035,1405.28542,762.074482,1751.45349,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0
