case_name,summary_file,robot,backend,num_cycles,tracking_rmse,tracking_mean,tracking_p95,torque_ratio_mean,torque_ratio_p95,torque_ratio_max,solve_time_mean_ms,solve_time_p95_ms,reference_build_mean_ms,reference_build_p95_ms,problem_build_mean_ms,problem_build_p95_ms,warm_start_mean_ms,warm_start_p95_ms,initial_calc_mean_ms,initial_calc_p95_ms,solver_setup_mean_ms,solver_setup_p95_ms,mpc_pipeline_mean_ms,mpc_pipeline_p95_ms,publish_command_mean_ms,publish_command_p95_ms,solver_dam_calc_mean_ms,solver_dam_calc_p95_ms,solver_dam_calcdiff_mean_ms,solver_dam_calcdiff_p95_ms,solver_dynamics_calc_mean_ms,solver_dynamics_calc_p95_ms,solver_dynamics_calcdiff_mean_ms,solver_dynamics_calcdiff_p95_ms,solver_cost_sum_calc_mean_ms,solver_cost_sum_calc_p95_ms,solver_cost_sum_calcdiff_mean_ms,solver_cost_sum_calcdiff_p95_ms,solver_cost_item_total_mean_ms,solver_cost_item_total_p95_ms,solver_collision_cost_total_mean_ms,solver_collision_cost_total_p95_ms,solver_collision_residual_total_mean_ms,solver_collision_residual_total_p95_ms,solver_model_total_mean_ms,solver_model_total_p95_ms,solver_overhead_mean_ms,solver_overhead_p95_ms,initial_model_total_mean_ms,initial_model_total_p95_ms,enable_collision_cost,collision_obstacle_count,collision_weight,collision_safety_distance,realtime_ratio_mean,deadline_miss_rate,failure_rate,dt,horizon,solve_budget_ms,control_rate_hz,experiment_duration_s,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque
com_01cm_x_tetrapga,com_01cm_x_tetrapga_summary.csv,ur,tetrapga,919,0.200950029,0.196296097,0.255105868,0.134529112,0.298330045,0.648670291,17.451460403,23.899846,0.038686015,0.042199,0.887326344,0.939205,0.010890063,0.012413,2.885005529,2.966416,0.021881769,0.02476,21.454692657,27.919286,0.025988082,0.034709,8.258712756,14.542738,8.954393514,9.1744,8.216190208,14.478735,8.857598627,9.074675,0.028602898,0.045582,0.028793222,0.033495,0.025056332,0.035251,0,0,0,0,17.21310627,23.647035,0.238354133,0.257736,2.880733497,2.961951,0,4,50,0.08,0.87257302,0.208922742,0,0.02,20,10,50,20,1,5,5,1,0.01 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_01cm_y_tetrapga,com_01cm_y_tetrapga_summary.csv,ur,tetrapga,920,0.199472224,0.194993857,0.260437544,0.131171457,0.281761019,1,17.407006202,22.531647,0.038756702,0.042355,0.880310228,0.933368,0.01084876,0.01219,2.866140758,2.965248,0.021809965,0.024716,21.38647265,26.442828,0.026434397,0.034367,8.249122539,13.667573,8.919235379,9.19142,8.206048718,13.598924,8.821823037,9.087958,0.029267774,0.048163,0.029162741,0.034491,0.025626923,0.036203,0,0,0,0,17.168357918,22.287941,0.238648284,0.259098,2.861919147,2.96073,0,4,50,0.08,0.87035031,0.185869565,0,0.02,20,10,50,20,1,5,5,1,0 0.01 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_01cm_z_tetrapga,com_01cm_z_tetrapga_summary.csv,ur,tetrapga,921,0.199335371,0.194333437,0.265525082,0.12972389,0.294611948,0.620552838,17.350925544,23.936405,0.038594268,0.042044,0.881776374,0.937281,0.010997763,0.012143,2.846812798,2.968146,0.022153248,0.025128,21.309813267,27.983992,0.026563953,0.034309,8.262797459,14.55172,8.851262207,9.1823,8.219162045,14.484173,8.75394243,9.082309,0.029537289,0.049367,0.02905813,0.033995,0.025191157,0.036572,0,0,0,0,17.114059667,23.683231,0.236865877,0.259575,2.842724983,2.962618,0,4,50,0.08,0.867546277,0.175895765,0,0.02,20,10,50,20,1,5,5,1,0 0 0.060000000000000005,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_x_tetrapga,com_02cm_x_tetrapga_summary.csv,ur,tetrapga,918,0.200082394,0.195623943,0.256499782,0.138808219,0.306170015,1,17.454182149,23.03306,0.038419309,0.041954,0.882510974,0.936759,0.010727836,0.011802,2.883238603,2.965844,0.022262216,0.025148,21.461866365,27.144835,0.027809227,0.035686,8.235708854,13.744453,8.979004281,9.209283,8.193807088,13.660721,8.882379054,9.105152,0.028456653,0.047726,0.028661669,0.03462,0.024087908,0.034762,0,0,0,0,17.214713135,22.783776,0.239469014,0.259035,2.87895239,2.961093,0,4,50,0.08,0.872709107,0.234204793,0,0.02,20,10,50,20,1,5,5,1,0.02 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_y_tetrapga,com_02cm_y_tetrapga_summary.csv,ur,tetrapga,931,0.195835305,0.191018914,0.244772143,0.128137871,0.270478578,0.499733623,17.106105325,22.522849,0.038895176,0.042585,0.880861817,0.940682,0.01075761,0.01208,2.813208469,2.956596,0.021636597,0.024248,21.024854251,26.402024,0.025430708,0.032618,8.115181874,13.670971,8.756059642,9.139435,8.072671593,13.600919,8.659702383,9.043948,0.028600544,0.04626,0.028263025,0.033121,0.024708919,0.03357,0,0,0,0,16.871241517,22.279655,0.234863809,0.252154,2.809229766,2.952108,0,4,50,0.08,0.855305266,0.114930183,0,0.02,20,10,50,20,1,5,5,1,0 0.02 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_02cm_z_tetrapga,com_02cm_z_tetrapga_summary.csv,ur,tetrapga,929,0.198953103,0.194122037,0.260980472,0.131886794,0.270078396,0.570427831,17.204517988,22.536238,0.038814664,0.042428,0.889359189,0.951069,0.010711646,0.012006,2.836895862,2.959964,0.021922172,0.025198,21.173656363,26.496779,0.027636288,0.036087,8.146527851,13.686347,8.821930652,9.160925,8.103696079,13.617415,8.724207564,9.064225,0.028615391,0.048323,0.029744635,0.03549,0.025313504,0.03606,0,0,0,0,16.968458504,22.29097,0.236059484,0.25628,2.832912881,2.95495,0,4,50,0.08,0.860225899,0.109795479,0,0.02,20,10,50,20,1,5,5,1,0 0 0.070000000000000007,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_x_tetrapga,com_05cm_x_tetrapga_summary.csv,ur,tetrapga,922,0.20252896,0.196943529,0.271955525,0.145732798,0.343679912,1,17.393284638,22.534691,0.038782906,0.043447,0.885205466,0.941147,0.010691935,0.012112,2.866902517,2.965214,0.021722172,0.025076,21.368775311,26.440159,0.024300046,0.033049,8.250865163,13.683589,8.906010719,9.180302,8.20822508,13.614589,8.809522716,9.07847,0.028708911,0.046742,0.028358203,0.033482,0.02423809,0.034237,0,0,0,0,17.156875882,22.290486,0.236408756,0.255219,2.862597358,2.960272,0,4,50,0.08,0.869664232,0.14967462,0,0.02,20,10,50,20,1,5,5,1,0.050000000000000003 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_y_tetrapga,com_05cm_y_tetrapga_summary.csv,ur,tetrapga,935,0.192979717,0.18836456,0.241807875,0.139105919,0.285873001,1,16.939651478,22.52297,0.038756818,0.042106,0.868955243,0.923226,0.010703185,0.011926,2.788468353,2.941852,0.021216837,0.023814,20.808624893,26.399855,0.023087335,0.031353,8.032079969,13.673435,8.676923124,9.114179,7.990442571,13.60043,8.581621383,9.019969,0.027896872,0.046245,0.027221322,0.031059,0.02373749,0.033665,0,0,0,0,16.709003093,22.277324,0.230648385,0.249977,2.784642639,2.937847,0,4,50,0.08,0.846982574,0.103743316,0,0.02,20,10,50,20,1,5,5,1,0 0.050000000000000003 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
com_05cm_z_tetrapga,com_05cm_z_tetrapga_summary.csv,ur,tetrapga,923,0.198681427,0.194195461,0.24608268,0.139621477,0.307084948,1,17.453678937,22.570139,0.038388636,0.042126,0.86931956,0.924614,0.010675051,0.0119,2.868681744,2.965867,0.021400607,0.023818,21.404254901,26.468292,0.023036518,0.031398,8.295872258,13.687658,8.921540341,9.170366,8.254351325,13.616943,8.82568388,9.07303,0.027856361,0.04749,0.027975739,0.032288,0.023616403,0.033695,0,0,0,0,17.217412599,22.325118,0.236266338,0.253839,2.864320415,2.96071,0,4,50,0.08,0.872683947,0.136511376,0,0.02,20,10,50,20,1,5,5,1,0 0 0.10000000000000001,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
external_10N_tetrapga,external_10N_tetrapga_summary.csv,ur,tetrapga,979,0.192163573,0.186643697,0.260187899,0.130542321,0.233038097,1,15.699590633,19.254102,0.040735514,0.061288,0.88765048,0.947568,0.010763754,0.011778,2.820331992,2.957226,0.021945247,0.024994,19.627789534,23.588736,0.024805969,0.033679,6.698367285,8.853034,8.769318904,9.141626,6.662564413,8.79853,8.673011547,9.044513,0.024127696,0.037038,0.027996856,0.033074,0.022976717,0.0305,0,0,0,0,15.467686189,19.004515,0.231904444,0.248132,2.816144824,2.952729,0,4,50,0.08,0.784979532,0.026557712,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,10 0 0,0 0 0
external_5N_tetrapga,external_5N_tetrapga_summary.csv,ur,tetrapga,974,0.195475216,0.189379537,0.252617897,0.141285065,0.449288898,1,15.815668028,19.802006,0.040362731,0.0498,0.895924739,0.958734,0.010850669,0.012015,2.837976961,2.966077,0.022405205,0.026252,19.791738998,23.771249,0.027597624,0.036247,6.728553095,10.933172,8.850037663,9.181112,6.690999637,10.874591,8.750566485,9.074683,0.025619462,0.03964,0.030933334,0.038379,0.02513751,0.033836,0,0,0,0,15.578590759,19.562757,0.237077269,0.256131,2.833605197,2.960407,0,4,50,0.08,0.790783401,0.042094456,0,0.02,20,10,50,20,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0
mass_070_tetrapga,mass_070_tetrapga_summary.csv,ur,tetrapga,972,0.195251506,0.190153143,0.243918531,0.131422958,1,1,15.954498001,19.757217,0.038901076,0.042237,0.882942723,0.94412,0.010794447,0.012102,2.856721781,2.967344,0.021946129,0.025172,19.929204799,23.67366,0.026879466,0.035826,6.843260133,10.129696,8.8769538,9.182488,6.805211983,10.073152,8.778454429,9.08009,0.026007706,0.040109,0.03020576,0.036901,0.024707505,0.034522,0,0,0,0,15.720213933,19.477997,0.234284068,0.250488,2.852632987,2.962816,0,4,50,0.08,0.7977249,0.017489712,0,0.02,20,10,50,20,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
