scenario,method,sample_id,seed,dof,horizon,max_iterations,perturbation,level,solver_failed,solver_converged,solve_ms,solver_final_iter,solver_final_cost,solver_final_stop,planning_terminal_rmse,mpc_steps,mpc_failed_steps,mpc_converged_steps,mean_mpc_solve_ms,max_mpc_solve_ms,rollout_finite,rollout_terminal_error_norm,rollout_terminal_rmse,rollout_trajectory_rmse,max_abs_q,max_abs_dq,rms_tau,max_tau_ratio,success,failure_message
"ur10","TetraPGA",3,20260624,6,50,25,"nominal",0,0,1,1.90463944,4,0.894422638,0.000000001,0.000182112,50,0,50,1.90463944,2.479017,1,0.105524962,0.043080385,0.098952009,0.23074249,0.243985956,50.521224223,0.362080561,1,""
"ur10","TetraPGA",3,20260624,6,50,25,"mass_inertia_scale",-0.3,0,1,1.79868438,4,0.894422638,0.000000001,0.000182112,50,0,50,1.79868438,2.26462,1,0.695713543,0.284023865,0.208923852,0.343559393,0.577677027,35.672460134,0.329343245,0,""
"ur10","TetraPGA",3,20260624,6,50,25,"mass_inertia_scale",-0.2,0,1,1.83009364,4,0.894422638,0.000000001,0.000182112,50,0,50,1.83009364,2.264739,1,0.448521265,0.18310804,0.158118802,0.258751095,0.428431727,40.744063696,0.329343245,0,""
"ur10","TetraPGA",3,20260624,6,50,25,"mass_inertia_scale",-0.1,0,1,1.8909264,4,0.894422638,0.000000001,0.000182112,50,0,50,1.8909264,2.253151,1,0.246617593,0.100681211,0.120851006,0.231503562,0.315048809,45.715805679,0.329343245,0,""
"ur10","TetraPGA",3,20260624,6,50,25,"mass_inertia_scale",0.1,0,1,1.82223086,4,0.894422638,0.000000001,0.000182112,50,0,50,1.82223086,2.263448,1,0.123287641,0.050331969,0.092322322,0.230119794,0.397679992,55.104771197,0.400555144,1,""
"ur10","TetraPGA",3,20260624,6,50,25,"mass_inertia_scale",0.2,0,1,1.80840542,4,0.894422638,0.000000001,0.000182112,50,0,50,1.80840542,2.262341,1,0.293849497,0.119963555,0.102825373,0.295572295,0.552522264,59.4299861,0.437364838,0,""
"ur10","TetraPGA",3,20260624,6,50,25,"mass_inertia_scale",0.3,0,1,1.79749832,4,0.894422638,0.000000001,0.000182112,50,0,50,1.79749832,2.257709,1,0.538889164,0.22000058,0.133125907,0.417279943,0.743990782,63.48120509,0.47226636,0,""
"ur10","TetraPGA",3,20260624,6,50,25,"com_offset",0.01,0,1,1.76031986,4,0.894422638,0.000000001,0.000182112,50,0,50,1.76031986,2.249476,1,0.925774147,0.377945713,0.356049441,1.078976854,5.766752168,50.526066487,0.362099091,0,""
"ur10","TetraPGA",3,20260624,6,50,25,"com_offset",0.02,0,1,1.76075642,4,0.894422638,0.000000001,0.000182112,50,0,50,1.76075642,2.249285,1,0.968751977,0.395491339,0.39445653,1.310327641,8.985257054,50.527732358,0.36209959,0,""
"ur10","TetraPGA",3,20260624,6,50,25,"com_offset",0.05,0,1,1.76951834,4,0.894422638,0.000000001,0.000182112,50,0,50,1.76951834,2.257399,1,0.946125065,0.38625394,0.43207446,1.637055155,11.596879706,50.529824845,0.362226396,0,""
