robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.000099229,2.035820829,12.143603511,1,37.774653,47.01053,4.721831625,1,0,0,13.143785717,69.735624899,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00057801659877249393 -0.022483096574502839 0.010814487672976453 -0.24896446206309625 -0.00027215205205205549 1.2440989591750105e-05,0.017763217883717659 -1.0220991780620012 0.26320505223415025 -11.933591848629437 -0.0053664113607829918 0.00019773807647619011,1.4950048487666575e-06 -1.570789038401295 1.3413313104086286e-05 -1.5707806665606052 1.5523682221917698e-05 1.4696859457857494e-05,0.015081613136730903 0.073462870023423596 0.13518683461125966 0.15782630949855062 0.15644578210616 0.14810962883216527,0.00013208250692078852 -1.5701931965933729 0.0011023078138945154 -1.5695134478877106 0.0012688610560189304 0.0011989777446098798,0.017565172053696974 0.075496478937249964 0.13703450146561572 0.15897546331990015 0.15688550683333655 0.14795849172093567,0 0 0 0 0 0,-10.782719375934638 -330 -129.8544600150461 -56 1.6377066813102665 -0.066706105736722879
ur,tetrapga,0.047164474,2.028059061,12.151076102,1,36.12806,43.82594,4.5160075,1,0,0,13.197840012,69.027518968,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00057801659877249393 -0.022483096574502839 0.010814487672976453 -0.24896446206309625 -0.00027215205205205549 1.2440989591750105e-05,0.017763217883717659 -1.0220991780620012 0.26320505223415025 -11.933591848629437 -0.0053664113607829918 0.00019773807647619011,0.0010550009765937108 -1.5670513221323847 0.0066290019318266486 -1.5631969744943164 0.0074358457773001981 0.0069620433752054268,0.029680943108759295 0.085328267921851594 0.145856208296959 0.16433521148676511 0.15876875863873458 0.14703983727615827,0.00028253610299322973 -1.5695811125721655 0.0022059285308883821 -1.5682371055899191 0.0025256428792105779 0.0023819991361616806,0.020048110453193969 0.077523400164481865 0.13886836622563842 0.16010720127044087 0.15730688947783039 0.14779475807169246,0 0 0 0 0 0,-10.782719375934638 -330 -129.8544600150461 -56 1.6377066813102665 -0.066706105736722879
ur,tetrapga,0.091081607,1.66158848,8.705125034,1,36.265962,44.021283,4.53324525,1,0,0,5.617388319,44.489528938,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00016140831799503502 -0.10369056398992753 0.020105653525580226 -0.76171968240738996 -0.00026662183036944598 5.2943365786263578e-06,-0.022442679394083554 -2.2068363146394514 0.13662653699615193 -8.2220134648309848 -0.00095758312036328956 -0.00012260897587967553,0.0026569039339068429 -1.5630650096718786 0.013244943646372834 -1.555856695934712 0.014445498503457024 0.013390489142612086,0.043261089559871964 0.096170794763343725 0.15536150828252843 0.16985276484937664 0.16035996213346948 0.14565104154576342,0.00045285020054378598 -1.5689528403949549 0.0033241645100687629 -1.5669517793394008 0.003785722297552007 0.0035636603261054189,0.022530271242964028 0.079543494825080566 0.14068829472769581 0.16122143725599661 0.15770990087689829 0.14761844407675689,0 0 0 0 0 0,8.8588524708931988 -330 -118.54453993037937 47.027122171037263 0.71133712605650579 0.013790504353544288
ur,tetrapga,0.135226288,1.422750444,6.416402366,1,36.070091,43.715794,4.508761375,1,0,0,2.577019274,29.797517127,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0010423593529760369 -0.22609799894749874 0.025071874945838558 -1.0504402759804736 0.00013122725923463859 0.00044497990665357467,-0.031369739620481708 -3.3036018129529627 0.092129089356695226 -5.2555464376716747 0.016452408480604849 0.017189667367969577,0.0048667421183543761 -1.5585835061190323 0.020305800217876854 -1.5482463481908695 0.021549475760330145 0.019782468690182166,0.056843296765057172 0.10682326815721993 0.16445603442188858 0.17484478296759975 0.16139533290439328 0.14387868530731501,0.00064301795040415963 -1.5683084352284402 0.004456903727766923 -1.5656576094921091 0.0050489522290934471 0.0047438607388086626,0.025011497355135238 0.081556624445989351 0.14249415372382457 0.16231808642591994 0.15809451326736573 0.14742956663750048,0 0 0 0 0 0,19.657499678389055 -330 -110.12473751844396 31.649420826015557 3.5420802239335734 2.3489640395632816
ur,tetrapga,0.179014023,1.207951892,5.732363686,1,36.112599,43.899268,4.514074875,1,0,0,2.435522253,19.897238833,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0025421672608496159 -0.38735468449817545 0.028138217856990961 -1.2285108819437824 0.0007600911151038781 0.0011104910996434113,-0.040538093577551955 -4.3209394782323027 0.054612103790865875 -3.4399119943995018 0.011966479088071384 0.012897204655763909,0.0076490842842087889 -1.5536794345875726 0.027695809601386203 -1.5404920934061443 0.028628862827045107 0.026037361094668081,0.070222225194145255 0.11712372271289438 0.17300123039735271 0.1792360349108057 0.16186175756310603 0.14175202841711149,0.00085303124698799166 -1.567647953345451 0.0056040330980201827 -1.5643547370778101 0.0063151853753841041 0.0059224999366829078,0.027491631754432363 0.083562650968974986 0.14428581088985007 0.16339706517859878 0.15846070028744558 0.14722814336336801,0 0 0 0 0 0,30.345086905334128 -330 -110.06166906445193 15.364902982182684 1.1337924334031855 -0.037051881234170025
ur,tetrapga,0.223040079,0.976817802,5.969572285,1,36.220226,43.914875,4.52752825,1,0,0,3.444547996,14.196958951,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0044552781697683877 -0.59093949928507072 0.030164654194688039 -1.3446805480958239 0.0015913031576840066 0.0019511124135993419,-0.050369597310047982 -5.3196788871772744 0.034870756982603057 -2.2442175413035788 0.016112629650873171 0.016373979664175364,0.011034659248679088 -1.5483002130088581 0.03549242206062448 -1.5325143367153717 0.035754989884893895 0.032224367033772759,0.083554334371007802 0.12719163220053262 0.18109587864283455 0.18307807393711206 0.16176725917943827 0.13924845111981687,0.0010828807285844719 -1.5669714521215976 0.0067654384799945193 -1.5630433037900686 0.0075842742326902111 0.0070994776258441403,0.029970517446386256 0.085561436758447088 0.14606313483345246 0.1644582911668846 0.15880843697846322 0.1470141925708657,0 0 0 0 0 0,44.091524926481796 -330 -106.3212072171422 7.8073448451204968 1.1641909735719835 -0.050594086754663259
ur,tetrapga,0.267028367,0.703239767,6.705824078,1,36.27011,44.132333,4.53376375,1,0,0,5.028001675,14.174452662,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0067711826466044763 -0.84908215560758793 0.031591694666436416 -1.4231607472110592 0.0026246824235676858 0.0029642962332106291,-0.053085939840933336 -6.3673947493830605 0.028287735439948031 -1.4212022567256037 0.028722686389525458 0.0276125900751251,0.015000429100130965 -1.54248967258884 0.043626974053687706 -1.5243872891329113 0.042858445075966367 0.038288033491567987,0.096729569775424115 0.13694075958145496 0.18866747269157405 0.18633368751022583 0.16110927561679764 0.13638657173483112,0.001332555777717623 -1.5662789900318581 0.0079410046854715005 -1.5617234519761904 0.0088560711032265298 0.0082746936617651631,0.032447997485541669 0.087552844609254776 0.14782599510217889 0.16550168330344212 0.1591376997864872 0.14678773328251332,0 0 0 0 0 0,57.902360627378435 -330 -98.598626835065744 7.3064914818669422 3.7036512972452229 2.298807317787869
ur,tetrapga,0.311245165,0.441710154,5.68232425,0.954555898,36.147959,43.946263,4.518494875,1,0,0,4.371821357,10.8711808,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,-0.0054040673647651107 -1.1030552599581356 0.017330163323155803 -1.4723705743336779 0.0040693168429718667 0.0039812395097074647,0.11834675725675863 -5.3681239258928271 -0.51902920063972868 -0.96818638103845012 0.034198359788666276 0.019648627686933998,0.019567173786559859 -1.5362240318115159 0.052127645728847011 -1.5160868115306267 0.049957136561375882 0.044248424682531963,0.10980105261982298 0.14640730248407732 0.19574096475537306 0.18901074127992709 0.15988216486533011 0.13315281283515426,0.0016020445215712326 -1.5655706266471041 0.0091306154863990824 -1.5603953246271238 0.010130428106400486 0.0094480480549193942,0.034923914983662888 0.089536737754460388 0.1495742621914011 0.16652716176601998 0.15944846656386502 0.14654878522576173,0 0 0 0 0 0,-21.625400756342984 315.00344634159137 136.37411400895118 16.748338690535093 -2.2892931172230586 -0.04874898084197099
ur,tetrapga,0.355272181,0.262824404,3.832325322,1,30.234463,37.911693,3.779307875,1,0,0,3.496520991,3.789876875,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,9.8313405051408557e-05 -1.2860060391592805 -0.0060767892017955082 -1.5048135748243288 0.0056884449672358253 0.0050488465189119066,0.11504888551100291 -3.531269269308468 -0.42929173874346771 -0.62608911738869311 0.031191218567977293 0.020756220277323583,0.024684333860425518 -1.5295770829767481 0.060890482971381207 -1.5077175533339386 0.056959085057684815 0.050033447713866905,0.12261957046414007 0.15548114246831468 0.20223233427283102 0.1910763849382692 0.15810009697015934 0.12958397792837981,0.0018913338324794259 -1.5648464226305645 0.010334153622505851 -1.5590590653673166 0.011407197190068243 0.010619440976415866,0.037398113117936935 0.091512979873089761 0.15130780755221773 0.16753464800264228 0.15974071657066474 0.14629736883187444,0 0 0 0 0 0,-45.626376696724684 330 150 15.448093733827591 -2.4629785669996522 -0.049138147595646942
ur,tetrapga,0.39330642,0.173580259,2.540358397,0.78256704,30.236179,37.864541,3.779522375,1,0,0,3.345679041,0.253244462,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0034079717404669049 -1.3945139428645479 -0.013445124112411206 -1.5238022924308201 0.0070060357573155912 0.0060670398165690084,0.059788188964596888 -2.279763068766631 -0.094582720187747243 -0.40945481358898367 0.027209991495321287 0.022369433599022735,0.029555842175518342 -1.5235191727966189 0.068681579796355807 -1.5004239847577578 0.062935838673232991 0.054899018210776154,0.13351592135508752 0.16302206980386494 0.20738508284182239 0.19237468754317175 0.15611402941080404 0.12622615116541266,0.0061381370915996039 -1.410700231425035 -0.014293729971250257 -1.5231850106397151 0.010084756125141361 0.0084685963499486656,0.34127066889158736 -2.0232860700608768 -0.1060757323548813 0.077160223888119051 0.38484004597822136 0.30019456667245725,-22.445711428567325 330 143.94734325569297 11.398399431317101 -1.9950148343974528 0.04291715695648339,-36.964898432308729 258.24712310876475 110.23509853931795 10.811929938392495 -1.7795732778438591 -0.059756252841630442
