case_name,cycles_file,summary_file,num_cycles,dt_estimate_s,tracking_rmse,tracking_mean,tracking_p95,velocity_rmse,solve_time_mean_ms,solve_time_p95_ms,torque_ratio_mean,torque_ratio_p95,failure_rate,accel_rms_norm,jerk_rms_norm_from_dq,jerk_rms_norm_from_q,torque_rate_rms_norm,effort_rate_rms_norm,robot,backend,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque
external_5N_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/external_5N_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/external_5N_tetrapga_summary.csv,488,0.041580841,0.409275804,0.370963951,0.459079682,1.08009111,33.3313389,41.9699912,0.0595110638,0.122690342,0,6.46350171,119.518035,527.535923,610.689439,854.060982,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,8,0.04,5 0 0,0 0 0
mass_070_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_070_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_070_tetrapga_summary.csv,495,0.04162573,0.400605725,0.365586443,0.452632018,1.12303963,32.8422461,39.6112404,0.0463775919,0.0513684629,0,7.21388594,142.279348,474.527326,619.218197,873.596619,ur,tetrapga,0.7,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_080_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_080_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_080_tetrapga_summary.csv,484,0.041732606,0.414722372,0.371457232,0.459927233,0.925625963,33.5890095,39.6276679,0.0504607547,0.132795922,0,13.8831177,496.786,439.084089,515.546912,828.52417,ur,tetrapga,0.8,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_090_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_090_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_090_tetrapga_summary.csv,494,0.041541731,0.403368839,0.366902937,0.455060184,1.09817233,32.9033287,39.609207,0.0501968415,0.0525314904,0,7.05244115,146.824631,560.051042,553.587493,714.137205,ur,tetrapga,0.9,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_110_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_110_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_110_tetrapga_summary.csv,491,0.0415451485,0.418088144,0.373387936,0.4571567,0.857520819,33.1032104,39.643501,0.0616493519,0.0978314745,0,9.01480393,306.529496,519.065322,579.083679,686.244985,ur,tetrapga,1.1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_120_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_120_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_120_tetrapga_summary.csv,496,0.041587607,0.422338037,0.375730039,0.464489482,0.876314948,32.7905867,39.61959,0.0631871155,0.0681386163,0,10.0390214,348.061082,462.258206,553.820178,752.616814,ur,tetrapga,1.2,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
mass_130_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_130_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/mass_130_tetrapga_summary.csv,485,0.0416834355,0.444140042,0.400832266,0.473865635,0.823003423,33.5100395,39.74312,0.11885559,0.216053549,0,10.1080918,359.660367,635.063758,645.416174,913.68235,ur,tetrapga,1.3,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
nominal_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/nominal_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/nominal_tetrapga_summary.csv,484,0.04163596,0.419270628,0.374664644,0.455167324,0.891285303,33.5816705,41.9559626,0.0605182227,0.152808687,0,12.5397934,434.383199,490.246321,578.744543,850.314629,ur,tetrapga,1,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
payload_2kg_ignored_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/payload_2kg_ignored_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/payload_2kg_ignored_tetrapga_summary.csv,482,0.041742547,0.425950495,0.383057093,0.502364163,0.974418986,33.7076075,39.807078,0.0772259739,0.234463802,0,5.55996687,125.852978,553.387937,528.96704,824.601556,ur,tetrapga,1,2,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
payload_2kg_modeled_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/payload_2kg_modeled_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/payload_2kg_modeled_tetrapga_summary.csv,477,0.041799404,0.424664141,0.382439614,0.50555652,0.993918653,34.212482,41.879995,0.0730139504,0.187204171,0,5.46366121,101.475922,589.726616,524.819769,853.634888,ur,tetrapga,1,2,2,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
payload_5kg_ignored_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/payload_5kg_ignored_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/payload_5kg_ignored_tetrapga_summary.csv,469,0.04394035,0.549573714,0.508092783,0.731343739,0.800751166,34.7477974,42.0102108,0.256300222,0.456129079,0,11.7707086,408.832489,398.148679,695.344387,1104.78173,ur,tetrapga,1,5,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
payload_5kg_modeled_tetrapga,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/payload_5kg_modeled_tetrapga_cycles.csv,/home/chenwh/ros2_ws/src/TetraPGA-preview/reviewer_revision_experiments/06_mujoco_robustness_expanded_sweep/paper_scale/batch_20260624_211228/payload_5kg_modeled_tetrapga_summary.csv,454,0.044167644,0.569718978,0.524773932,0.750830616,0.880101911,36.3425243,45.160028,0.28636768,0.395702445,0,12.3587605,425.269764,298.899838,657.208894,1000.61985,ur,tetrapga,1,5,5,1,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0
