robot,backend,sample_id,callback_index,solver_iter,elapsed_ms,iter_interval_ms,cost,stop,dam_calc_interval_ms,dam_calcdiff_interval_ms,dam_total_interval_ms,cost_state_calc_interval_ms,cost_state_calcdiff_interval_ms,cost_state_total_interval_ms,cost_control_calc_interval_ms,cost_control_calcdiff_interval_ms,cost_control_total_interval_ms,cost_acc_calc_interval_ms,cost_acc_calcdiff_interval_ms,cost_acc_total_interval_ms,cost_collision_calc_interval_ms,cost_collision_calcdiff_interval_ms,cost_collision_total_interval_ms,cost_other_calc_interval_ms,cost_other_calcdiff_interval_ms,cost_other_total_interval_ms,cost_total_interval_ms,non_cost_model_interval_ms,solver_overhead_interval_ms,stack_total_interval_ms,dam_calc_calls,dam_calcdiff_calls
"ur10","TetraPGA",0,1,0,0.52286,0.52286,552.277630723,995.784742566,0.195984,0.201079,0.397063,0.005663,0.003728,0.009391,0.004313,0.00148,0.005793,0.006073,0.028816,0.034889,0,0,0,0,0,0,0.050073,0.34699,0.125797,0.52286,153,51
"ur10","TetraPGA",0,2,1,0.897483,0.374623,104.644483656,549.958775934,0.064835,0.195079,0.259914,0.001922,0.003534,0.005456,0.001464,0.00133,0.002794,0.002049,0.027812,0.029861,0,0,0,0,0,0,0.038111,0.221803,0.114709,0.374623,51,51
