robot,backend,t,tracking_error,velocity_error,torque_ratio,solve_time_ms,reference_build_ms,problem_build_ms,warm_start_ms,initial_calc_ms,solver_setup_ms,mpc_pipeline_time_ms,publish_command_ms,solver_dam_calc_ms,solver_dam_calcdiff_ms,solver_dynamics_calc_ms,solver_dynamics_calcdiff_ms,solver_cost_sum_calc_ms,solver_cost_sum_calcdiff_ms,solver_cost_item_total_ms,solver_state_cost_total_ms,solver_control_cost_total_ms,solver_velocity_cost_total_ms,solver_collision_cost_total_ms,solver_collision_residual_total_ms,solver_model_total_ms,solver_overhead_ms,solver_dam_calc_calls,solver_dam_calcdiff_calls,initial_dam_calc_ms,initial_cost_sum_calc_ms,initial_model_total_ms,cycle_time_ms,realtime_ratio,iterations,converged,failed,best_cost,final_stop,plant_mass_scale,plant_payload_mass,controller_payload_mass,model_payload,plant_payload_com,controller_payload_com,payload_com_attachment,external_force_body_name,external_force_start_s,external_force_duration_s,external_force,external_torque,failure_message,q,dq,q_ref,dq_ref,q_cmd,dq_cmd,u_cmd,effort
ur,tetrapga,0.00006031,0.000018609,0.308567829,0,0.73204,0.008915,0.824883,0.003143,0.070988,0.083369,1.831983,0.049269,0.211481,0.266346,0.177215,0.215853,0.028577,0.043475,0.033581,0.012512,0.007796,0.013273,0,0,0.477827,0.254213,126,63,0.053552,0.015137,0.053552,1.892791,0.036602,3,1,0,0.007617128,0,1.3,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0 -1.5707963267948966 0 -1.5707963267948966 0 0,0 0 0 0 0 0,9.0827868522592785e-07 -1.5707918973099027 8.1521522539927073e-06 -1.5707868088931323 9.4350113260661889e-06 8.9325671041601832e-06,0.015069529672960422 0.073452960651089624 0.13517781242718147 0.1578206765818993 0.15644359811665923 0.14811033328038786,0.00036438266450483327 -1.5692720528666564 0.0027577866605252976 -1.5676018095769215 0.0031491494558845206 0.0029672573744226123,0.021277222422765925 0.0785244818621261 0.1397712269410826 0.16066109149761454 0.15750873252779402 0.14770903017790804,0 0 0 0 0 0,0 0 0 0 0 0
ur,tetrapga,0.019964654,0.005739957,0.264878144,0.024771938,0.635519,0.006249,0.325718,0.002159,0.04123,0.029856,1.134208,0.035789,0.187235,0.241546,0.157122,0.199661,0.024707,0.035959,0.028758,0.009554,0.007182,0.012022,0,0,0.428781,0.206738,126,63,0.037581,0.006314,0.037581,1.177818,0.03177595,3,1,0,0.014279628,0,1.3,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,4.7504819656248539e-05 -1.5708224846030323 0.00013530500549325327 -1.570509761322564 0.00028941893531513762 0.00026970732080443011,0.0054537180265609737 -0.0017950936441417775 0.016565861396952129 0.028844103927950396 0.029296957923049073 0.027377419622336883,0.0003623487900214465 -1.5692795630492047 0.002744417744894681 -1.5676171771369904 0.0031340830311334745 0.0029531280186648034,0.021247543037067839 0.07850032662730648 0.13974946417414316 0.16064776626098912 0.15750391132293748 0.14771113674273434,0.00085196153490475323 -1.567651205330697 0.0055984178074846413 -1.5643610962268815 0.0063090182771857089 0.0059167699449116538,0.02747956910595099 0.083552909316221266 0.14427712929059675 0.16339185898799385 0.158458963474638 0.14722915360171634,0 0 0 0 0 0,-0.97672703253538673 8.0891797011954623 3.7157907224447548 0.11217848388059792 -0.13804680618805332 -0.073684317794131537
ur,tetrapga,0.039986553,0.010487871,0.227613012,0.038151639,0.617152,0.004286,0.226536,0.00187,0.039893,0.020945,0.997548,0.021715,0.187524,0.232725,0.157436,0.19546,0.024647,0.031491,0.027125,0.009034,0.006614,0.011477,0,0,0.420249,0.196903,126,63,0.036754,0.006401,0.036754,1.024784,0.0308576,3,1,0,0.020312041,0,1.3,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00022286994786169961 -1.5708052844479456 0.00069115662370053637 -1.5695841409327851 0.0012182391108956354 0.0011347131028749025,0.010103898180383821 0.0050134352972780061 0.035162789393578295 0.05209126531361568 0.052080939691129167 0.048552517893075776,0.00084993556738661448 -1.5676573672617722 0.0055877769660430477 -1.5643731471563311 0.0062973309408370336 0.0059059106936473812,0.027456708602934681 0.083534447038757981 0.14426067550368768 0.16338199136912665 0.15845567077122555 0.14723106733263827,0.0011152580081215937 -1.570654500075805 0.0030802318545244218 -1.5660862685515149 0.0046645900647587831 0.0043108318204220335,0.044619403012994704 0.0075392186070378049 0.11945376154119428 0.17489361906351325 0.17231754769315738 0.1588059358773565,-2.0731944740290857 22.198988474334836 11.442774229310865 0.97938207242116115 -0.16602973263534027 0.0054378303926418776,-1.782118531599564 12.590040864103685 5.1975132035281248 0.068532336399584892 -0.24274529301396974 -0.14898155807149571
ur,tetrapga,0.059981436,0.015563302,0.270879266,0.014889088,0.630459,0.004674,0.243544,0.002402,0.045963,0.027233,1.043115,0.024125,0.184605,0.244108,0.155277,0.2043,0.023861,0.033662,0.027221,0.009777,0.006382,0.011062,0,0,0.428713,0.201746,126,63,0.040888,0.007931,0.040888,1.073025,0.03152295,3,1,0,0.026042458,0,1.3,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00037534378579319477 -1.5706164555031377 0.0012808319916907068 -1.5688501401056225 0.0019363644372347776 0.001802099018713187,0.0061886244993882792 0.0096690373799369553 0.024252013420064639 0.028623590639626367 0.027529147663387273 0.025473870384274466,0.0014608583820015094 -1.5659372205832383 0.0085165472822566722 -1.5610799684936012 0.0094741752245394353 0.0088443329216614068,0.033649705362545357 0.08851652705445108 0.14867621748018514 0.16600156541596373 0.15929081872054895 0.14667333605060567,0.0014280208624148022 -1.5704455956936201 0.0037926503697761566 -1.5651831179339124 0.0055183850599837044 0.0050761436724003923,0.052633853831080366 0.0085429904758739621 0.12559091890427249 0.18335110858550327 0.17910103113744633 0.16370223268436021,-2.007614314772403 23.742409928136929 12.562001216832975 1.0907254012278158 -0.17970035975069606 0.0066838649490033944,0.54142320400946531 -4.5694235750133885 -2.2333632295925785 -0.35177734582157427 -0.050633689662602066 -0.079072707812590792
ur,tetrapga,0.079974144,0.021053651,0.272803268,0.009268056,0.634471,0.004757,0.349555,0.002564,0.043681,0.025992,1.146772,0.028339,0.185845,0.246683,0.155762,0.202607,0.024599,0.038261,0.030755,0.009437,0.006831,0.014487,0,0,0.432528,0.201943,126,63,0.040049,0.007806,0.040049,1.181606,0.03172355,3,1,0,0.03189171,0,1.3,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00051892924281078375 -1.5704819175607156 0.0017302625476836862 -1.5682705062306099 0.0024942427828101611 0.0023143096254156182,0.0084379753264819876 0.0063721555834896273 0.024632445963369949 0.031746272095415216 0.030594349532507493 0.028043006565498768,0.0021954245518070758 -1.5641181309384116 0.011532361162247543 -1.5577358973183986 0.012666214995453666 0.011770505898577368,0.039831794074533446 0.093450717684624901 0.15299974563220556 0.16850873403142991 0.16001029352706403 0.14603772658518727,0.0017507704525737784 -1.5703352337004033 0.0043607372579998688 -1.5644275229974576 0.0062183200657039365 0.0056916483181581462,0.06159206048814974 0.007334193015615097 0.13152373551580912 0.19214916165761356 0.18620386414468879 0.16886693463712638,-2.1800434516519402 25.950353729232091 13.635310007662548 1.1741897504417438 -0.19438879041314774 0.006954357785424181,0.30213123876202452 -2.7062039142883805 -1.3902084432455126 -0.30786605104094633 -0.072633380976341755 -0.086559219596818338
ur,tetrapga,0.099983882,0.026530287,0.278077431,0.006678912,0.6306,0.004558,0.235217,0.002222,0.043683,0.02745,1.034831,0.025492,0.18555,0.238437,0.156025,0.199095,0.024073,0.033425,0.027082,0.009708,0.006249,0.011125,0,0,0.423987,0.206613,126,63,0.039816,0.008047,0.039816,1.065998,0.03153,3,1,0,0.038755002,0,1.3,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00071190445034202004 -1.5703801174805554 0.0022231946162671709 -1.5676058149847438 0.0031322090047233978 0.0028952947083172799,0.010051112041224199 0.0043916534624225539 0.024302600398836957 0.032593358956221827 0.031251507031267729 0.028393381969261378,0.0030542481794859342 -1.5621992097157129 0.014636360189065332 -1.5543399213501929 0.015874216419804542 0.014685669876558881,0.046006451779320029 0.098339583699632235 0.15723332021496161 0.17090457730657579 0.16061436046555339 0.1453238744347731,0.0021242616627935107 -1.5702417264445865 0.0049763855116641068 -1.5635904423674352 0.006992859547250263 0.006370499756457303,0.070617860622574524 0.0069195517984418399 0.13765954476984676 0.20076863086543517 0.19303252712634325 0.17376025240700116,-2.3196898311526533 28.042820697382822 14.686539850192627 1.2576674462724209 -0.20849807752271141 0.0073002530925364807,0.15535355803182238 -1.7491332629124372 -1.0018368373569597 -0.28556808923440258 -0.080338784856927248 -0.087634172368218799
ur,tetrapga,0.119982616,0.032085592,0.282000364,0.004909737,0.762783,0.005188,0.350207,0.002243,0.054519,0.025713,1.30286,0.031838,0.227709,0.29391,0.192171,0.247829,0.028782,0.038502,0.032067,0.011209,0.007438,0.01342,0,0,0.521619,0.241164,126,63,0.046947,0.008341,0.046947,1.340972,0.03813915,3,1,0,0.04646847,0,1.3,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.00093894071612054815 -1.5703100068793059 0.0027186807038117834 -1.5669152817317704 0.0037913410870279744 0.0034905913028841847,0.011752499392550079 0.0031105673971655 0.024733052572753579 0.034030507461095406 0.032442791062999764 0.029241648513125423,0.004035903575021641 -1.5601841122036084 0.017822342676235482 -1.550899056222216 0.019091368969037771 0.017584184681549302,0.052162576203068176 0.10317415014004665 0.16136901564706124 0.17318453468348277 0.16110187905906509 0.14453310481838683,0.0025342952285736472 -1.5701650623513639 0.0056008845974695864 -1.5627285833865849 0.007785575202311215 0.0070606279360439575,0.079767725622654953 0.0072472263971030447 0.14411019468289016 0.20933491725927408 0.19971170576416203 0.17850183165798861,-2.4470676510749851 30.037928332982645 15.686249237696851 1.3364667525815639 -0.22179734638382176 0.0076173265218691813,0.046493187482591125 -1.0452955579503396 -0.72074585860812235 -0.27494526527698326 -0.088022140762664236 -0.09022089846601844
ur,tetrapga,0.139982115,0.037686252,0.285811454,0.004903298,0.616532,0.004353,0.277927,0.002246,0.037373,0.019719,1.042376,0.024089,0.183883,0.231815,0.155388,0.196114,0.023096,0.029417,0.025524,0.008892,0.006056,0.010576,0,0,0.415698,0.200834,126,63,0.034984,0.00589,0.034984,1.071993,0.0308266,3,1,0,0.055107437,0,1.3,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0012076190363368572 -1.5702603612157553 0.0032357073081511231 -1.5661806496693631 0.0044878635629152933 0.0041145268848055676,0.013324174185105541 0.0025037473672544618 0.025418352024558232 0.035300948928717289 0.033428436864800043 0.029913791942576089,0.0051405465955695123 -1.5580727802138181 0.021090189215275584 -1.5474136152110689 0.02231723143140386 0.02046622536588058,0.058301360604672836 0.10795521780506975 0.1654074263282736 0.17534893397763177 0.16147303894752357 0.14366539913540718,0.0029883183131920671 -1.5700968585572215 0.0062510422488510058 -1.5618246818317725 0.0086119069217126323 0.0077756741512369099,0.089034963842760481 0.0081751329266960219 0.1507667470349941 0.21779839187952965 0.20620216793986698 0.18305736332156711,-2.5596915486642287 31.955775759182668 16.653439825918799 1.4126552156908101 -0.23451663572786408 0.0079332276268182945,-0.031755563866910919 -0.63214451091425872 -0.58453056612547982 -0.27458467569795175 -0.092910358271762306 -0.092371846304242666
ur,tetrapga,0.159985349,0.043476557,0.288056656,0.004986601,0.642856,0.005253,0.356643,0.002142,0.047431,0.028566,1.186047,0.032097,0.186147,0.253002,0.156782,0.20865,0.023956,0.03834,0.027727,0.009463,0.006831,0.011433,0,0,0.439149,0.203707,126,63,0.043899,0.010238,0.043899,1.225546,0.0321428,3,1,0,0.064835431,0,1.3,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0014799521836000179 -1.5702236165478147 0.0037172141601505438 -1.5654904474779723 0.0051378209718380566 0.0046927470390799681,0.015262698711107111 0.0020919416937757742 0.026765222084406258 0.037454199795575613 0.035227028297829144 0.031302925410097653,0.0063680067843870942 -1.5558659624512243 0.024438444392084913 -1.5438853899649567 0.025549956052754744 0.023330679811938367,0.064421274162872688 0.1126814140792302 0.16934724567585396 0.17739700662158819 0.16172772475482333 0.14272101713828025,0.0034511446006272361 -1.5700348516826976 0.0068707126992249776 -1.5609632105734126 0.0093919017132448532 0.0084448362610497728,0.098559620851360913 0.0094382432558582502 0.15767492695372168 0.22636184522798009 0.21270403707033986 0.1876044610984903,-2.6733462536856951 33.855597157656781 17.603017117700539 1.4868162735634194 -0.24702016915778671 0.0082189040557079599,-0.082806572555092828 -0.29329483257515676 -0.45081642466408667 -0.27924967556737101 -0.10013500207831427 -0.096559472440432614
ur,tetrapga,0.179990721,0.049218311,0.292182924,0.005086854,0.660607,0.005216,0.266767,0.002367,0.047229,0.029282,1.12926,0.035439,0.196726,0.248298,0.16269,0.202489,0.028174,0.04,0.03015,0.009848,0.007649,0.012653,0,0,0.445024,0.215583,126,63,0.042993,0.009666,0.042993,1.17224,0.03303035,3,1,0,0.075660569,0,1.3,0,0,0,0 0 0.050000000000000003,0 0 0.050000000000000003,0 0 0.050000000000000003,wrist_3_link,-1,0,0 0 0,0 0 0,,0.0018092664360697707 -1.5701840695226399 0.004265129077117168 -1.5647090048132217 0.0058687163229940035 0.0053390026114930947,0.016654210854693961 0.0021026911003553016 0.027438231189445196 0.03827075843931213 0.035724701297714614 0.031535517477784408,0.0077178153150694231 -1.5535649294251783 0.027864869946735361 -1.540316989220877 0.028786954873292723 0.026175784839922771,0.070519387966044761 0.11735029237171107 0.17318628175927239 0.17932753794392245 0.16186578894849465 0.14170044221370598,0.0039731638442989043 -1.56996573729 0.0075553023805984172 -1.5600153365599996 0.010246779714993609 0.0091762806762783079,0.10819487041145666 0.010916611631992569 0.16450866517406249 0.23468341266110801 0.21890316959998024 0.19186390323926067,-2.7710939040275915 35.738421510853478 18.562340744633634 1.562421537248857 -0.25947539846210127 0.0085446313049183237,-0.10945406470382402 -0.19004029256393551 -0.43277565450870981 -0.2848638330178801 -0.10154599649623464 -0.097284522874616641
