case,last_success_dof,first_failure_dof,first_failure_status,last_success_peak_rss_mb,last_success_graph_build_s,tested_dofs
aba_fo,410,411,exit_2,20330.105,359.968209537,64 127 128 192 255 256 320 384 400 408 409 410 411 416 448
rnea_fo,417,418,exit_2,20421.199,166.434337003,64 127 128 192 255 256 320 384 416 417 418 424 432 448
