d_safe,obstacle_count,samples,solver_success_rate,collision_free_rate,safety_satisfied_rate,mean_solve_ms,mean_final_min_distance,mean_traj_min_distance,mean_safety_violations,mean_collision_violations,mean_placement_error,mean_jerk_rms,mean_torque_rate_rms
0.03,4,3,0.0,0.0,0.0,35.95577566666667,0.02037537633333333,-0.03708782633333333,25.666666666666668,17.0,0.25852859366666664,79683.035570699,3810.0980919906665
0.03,8,3,0.0,0.0,0.0,36.255932666666666,0.007620718333333333,-0.07277098433333334,82.33333333333333,52.666666666666664,0.3792207816666667,40672.675699605,3558.16022071
0.05,4,3,0.0,0.0,0.0,33.84204666666667,0.03238631333333333,-0.031799955,36.333333333333336,15.333333333333334,0.229370713,74544.537134892,3195.8497771276666
0.05,8,3,0.0,0.0,0.0,35.43728566666667,0.012624592333333334,-0.07493305466666667,98.33333333333333,54.0,0.3777007143333333,41048.774395693334,3313.015844243
0.08,4,3,0.0,0.3333333333333333,0.0,34.743314,0.031416952,-0.027379212333333333,53.0,15.0,0.22154027533333334,83506.54714619534,3393.111043760333
0.08,8,3,0.0,0.0,0.0,35.173845,0.007445022000000002,-0.08968662733333332,121.0,59.333333333333336,0.3737888483333333,53751.274449434335,4986.5538331
0.1,4,3,0.0,0.0,0.0,35.587992666666665,0.030653131666666666,-0.032633939,67.0,15.666666666666666,0.218044083,98269.977715468,4551.7147598
0.1,8,3,0.0,0.0,0.0,36.31880566666667,0.005195186666666666,-0.07086361199999999,132.66666666666666,53.333333333333336,0.37044289133333336,50165.41766352534,3392.988361458
0.15,4,3,0.0,0.3333333333333333,0.0,34.551465666666665,0.05016520133333333,-0.01601957366666667,102.66666666666667,14.666666666666666,0.224208365,76048.94933002366,3353.8141635213333
0.15,8,3,0.0,0.0,0.0,35.306173333333334,-0.0025607433333333335,-0.08814452066666667,172.33333333333334,64.0,0.35945557666666667,53310.659318860664,5164.429481119334
