scenario,method,sample_id,seed,dof,horizon,max_iterations,perturbation,level,solver_failed,solver_converged,solve_ms,solver_final_iter,solver_final_cost,solver_final_stop,planning_terminal_rmse,mpc_steps,mpc_failed_steps,mpc_converged_steps,mean_mpc_solve_ms,max_mpc_solve_ms,rollout_finite,rollout_terminal_error_norm,rollout_terminal_rmse,rollout_trajectory_rmse,max_abs_q,max_abs_dq,rms_tau,max_tau_ratio,success,failure_message
"ur10","TetraPGA",1,20260624,6,50,25,"com_offset",0.01,0,1,1.9586931,4,0.996571375,0.000000008,0.000275697,50,0,50,1.9586931,2.264427,1,0.342655606,0.139888565,0.163899096,0.445115063,0.463844005,51.485054874,0.44687878,1,""
"ur10","TetraPGA",1,20260624,6,50,25,"com_offset",0.02,0,1,1.81342526,4,0.996571375,0.000000008,0.000275697,50,0,50,1.81342526,2.264325,1,0.666142578,0.271951569,0.229089536,0.777150496,0.956045044,51.487086399,0.44687878,1,""
"ur10","TetraPGA",1,20260624,6,50,25,"com_offset",0.05,0,1,1.81024134,4,0.996571375,0.000000008,0.000275697,50,0,50,1.81024134,2.947712,1,1.416889022,0.578442521,0.44377008,1.424072404,2.452782186,51.479651079,0.44687878,0,""
"ur10","TetraPGA",1,20260624,6,50,25,"external_force",5,0,1,2.1982354,4,0.996571375,0.000000008,0.000275697,50,0,50,2.1982354,2.335303,1,0.145424347,0.059369241,0.135681975,0.234316185,0.801059176,51.480525636,0.44687878,1,""
"ur10","TetraPGA",1,20260624,6,50,25,"external_force",10,0,1,2.18102474,4,0.996571375,0.000000008,0.000275697,50,0,50,2.18102474,2.334211,1,0.173749924,0.070933109,0.139107088,0.270929423,1.618515592,51.480577975,0.44687878,1,""
"ur10","TetraPGA",2,20260624,6,50,25,"nominal",0,0,1,1.91930334,4,1.018782449,0.000000045,0.000299848,50,0,50,1.91930334,2.272748,1,0.167761635,0.068488401,0.158134755,0.290360129,0.412627319,47.482374701,0.343308508,1,""
"ur10","TetraPGA",2,20260624,6,50,25,"mass_inertia_scale",-0.3,0,1,1.79880986,4,1.018782449,0.000000045,0.000299848,50,0,50,1.79880986,2.252891,1,0.486659067,0.198677732,0.185424032,0.550455053,0.768490295,34.702384627,0.298845389,1,""
"ur10","TetraPGA",2,20260624,6,50,25,"mass_inertia_scale",-0.2,0,1,1.81888212,4,1.018782449,0.000000045,0.000299848,50,0,50,1.81888212,2.259339,1,0.329195459,0.134393484,0.163195906,0.460420575,0.581969042,39.185470672,0.298845389,1,""
"ur10","TetraPGA",2,20260624,6,50,25,"mass_inertia_scale",-0.1,0,1,1.8580332,4,1.018782449,0.000000045,0.000299848,50,0,50,1.8580332,2.319702,1,0.19484078,0.079543415,0.152551015,0.352249629,0.456268301,43.460872585,0.310503947,1,""
"ur10","TetraPGA",2,20260624,6,50,25,"mass_inertia_scale",0.1,0,1,2.2599205,4,1.018782449,0.000000045,0.000299848,50,0,50,2.2599205,2.326127,1,0.366101367,0.149460257,0.186075514,0.418697966,0.412490551,51.222267909,0.374860145,1,""
"ur10","TetraPGA",2,20260624,6,50,25,"mass_inertia_scale",0.2,0,1,1.94505994,4,1.018782449,0.000000045,0.000299848,50,0,50,1.94505994,2.432741,1,0.684689248,0.279523215,0.238502137,0.537781279,0.442304447,54.67206958,0.404573617,1,""
"ur10","TetraPGA",2,20260624,6,50,25,"mass_inertia_scale",0.3,0,1,2.15912594,4,1.018782449,0.000000045,0.000299848,50,0,50,2.15912594,2.285497,1,1.076800781,0.439602078,0.311550476,0.645225766,0.798302737,57.836686111,0.432315037,0,""
"ur10","TetraPGA",2,20260624,6,50,25,"com_offset",0.01,0,1,1.77770142,4,1.018782449,0.000000045,0.000299848,50,0,50,1.77770142,2.253566,1,1.635605224,0.667733037,0.573950079,1.748100396,4.824809996,47.477219383,0.343318422,0,""
"ur10","TetraPGA",2,20260624,6,50,25,"com_offset",0.02,0,1,1.77318802,4,1.018782449,0.000000045,0.000299848,50,0,50,1.77318802,2.254113,1,1.787973851,0.729937268,0.655702583,1.951403356,8.234556134,47.477513706,0.343256803,0,""
"ur10","TetraPGA",2,20260624,6,50,25,"com_offset",0.05,0,1,1.86406918,4,1.018782449,0.000000045,0.000299848,50,0,50,1.86406918,2.254692,1,1.791686861,0.731453098,0.713449757,2.394644645,13.209048949,47.479487661,0.34343513,0,""
"ur10","TetraPGA",2,20260624,6,50,25,"external_force",5,0,1,1.92048394,4,1.018782449,0.000000045,0.000299848,50,0,50,1.92048394,2.330847,1,0.158046441,0.064522189,0.156693014,0.290365178,0.77065202,47.481999245,0.343308508,1,""
"ur10","TetraPGA",2,20260624,6,50,25,"external_force",10,0,1,1.91924612,4,1.018782449,0.000000045,0.000299848,50,0,50,1.91924612,2.27212,1,0.155690364,0.063560325,0.156067551,0.290369725,1.257976039,47.481629537,0.343308508,1,""
"ur10","TetraPGA",3,20260624,6,50,25,"nominal",0,0,1,1.89438002,4,0.894422638,0.000000001,0.000182112,50,0,50,1.89438002,2.267758,1,0.105524962,0.043080385,0.098952009,0.23074249,0.243985956,50.521224223,0.362080561,1,""
"ur10","TetraPGA",3,20260624,6,50,25,"mass_inertia_scale",-0.3,0,1,1.80261966,4,0.894422638,0.000000001,0.000182112,50,0,50,1.80261966,2.267841,1,0.695713543,0.284023865,0.208923852,0.343559393,0.577677027,35.672460134,0.329343245,1,""
"ur10","TetraPGA",3,20260624,6,50,25,"mass_inertia_scale",-0.2,0,1,1.84000158,4,0.894422638,0.000000001,0.000182112,50,0,50,1.84000158,2.260575,1,0.448521265,0.18310804,0.158118802,0.258751095,0.428431727,40.744063696,0.329343245,1,""
"ur10","TetraPGA",3,20260624,6,50,25,"mass_inertia_scale",-0.1,0,1,1.89729092,4,0.894422638,0.000000001,0.000182112,50,0,50,1.89729092,2.27302,1,0.246617593,0.100681211,0.120851006,0.231503562,0.315048809,45.715805679,0.329343245,1,""
"ur10","TetraPGA",3,20260624,6,50,25,"mass_inertia_scale",0.1,0,1,1.82246122,4,0.894422638,0.000000001,0.000182112,50,0,50,1.82246122,2.266827,1,0.123287641,0.050331969,0.092322322,0.230119794,0.397679992,55.104771197,0.400555144,1,""
"ur10","TetraPGA",3,20260624,6,50,25,"mass_inertia_scale",0.2,0,1,1.81087872,4,0.894422638,0.000000001,0.000182112,50,0,50,1.81087872,2.271737,1,0.293849497,0.119963555,0.102825373,0.295572295,0.552522264,59.4299861,0.437364838,1,""
"ur10","TetraPGA",3,20260624,6,50,25,"mass_inertia_scale",0.3,0,1,1.80473728,4,0.894422638,0.000000001,0.000182112,50,0,50,1.80473728,2.267419,1,0.538889164,0.22000058,0.133125907,0.417279943,0.743990782,63.48120509,0.47226636,1,""
"ur10","TetraPGA",3,20260624,6,50,25,"com_offset",0.01,0,1,1.76367108,4,0.894422638,0.000000001,0.000182112,50,0,50,1.76367108,2.26028,1,0.925774147,0.377945713,0.356049441,1.078976854,5.766752168,50.526066487,0.362099091,0,""
"ur10","TetraPGA",3,20260624,6,50,25,"com_offset",0.02,0,1,1.76228686,4,0.894422638,0.000000001,0.000182112,50,0,50,1.76228686,2.250788,1,0.968751977,0.395491339,0.39445653,1.310327641,8.985257054,50.527732358,0.36209959,0,""
"ur10","TetraPGA",3,20260624,6,50,25,"com_offset",0.05,0,1,1.76909426,4,0.894422638,0.000000001,0.000182112,50,0,50,1.76909426,2.252388,1,0.946125065,0.38625394,0.43207446,1.637055155,11.596879706,50.529824845,0.362226396,0,""
"ur10","TetraPGA",3,20260624,6,50,25,"external_force",5,0,1,1.85266868,4,0.894422638,0.000000001,0.000182112,50,0,50,1.85266868,2.263314,1,0.29190196,0.119168476,0.129311283,0.397609503,5.576480401,50.522062186,0.362093476,1,""
"ur10","TetraPGA",3,20260624,6,50,25,"external_force",10,0,1,1.85279838,4,0.894422638,0.000000001,0.000182112,50,0,50,1.85279838,2.279818,1,0.615751254,0.251379397,0.216926605,0.830995425,10.985414144,50.522969386,0.362108734,1,""
"ur10","TetraPGA",4,20260624,6,50,25,"nominal",0,0,1,2.0726521,4,0.977529084,0.000000003,0.000245935,50,0,50,2.0726521,2.272172,1,0.124874844,0.050979942,0.126644542,0.238985014,0.32276416,50.918365205,0.374766546,1,""
"ur10","TetraPGA",4,20260624,6,50,25,"mass_inertia_scale",-0.3,0,1,1.75670706,4,0.977529084,0.000000003,0.000245935,50,0,50,1.75670706,2.258019,1,0.50704412,0.206999895,0.145391007,0.296362847,0.712712198,36.422820365,0.374766546,1,""
"ur10","TetraPGA",4,20260624,6,50,25,"mass_inertia_scale",-0.2,0,1,1.75872688,4,0.977529084,0.000000003,0.000245935,50,0,50,1.75872688,2.260742,1,0.294642809,0.120287423,0.118530373,0.236794463,0.561845175,41.416913783,0.374766546,1,""
"ur10","TetraPGA",4,20260624,6,50,25,"mass_inertia_scale",-0.1,0,1,1.74865168,4,0.977529084,0.000000003,0.000245935,50,0,50,1.74865168,2.267359,1,0.129680294,0.052941758,0.111976152,0.238011436,0.435280428,46.269884969,0.374766546,1,""
"ur10","TetraPGA",4,20260624,6,50,25,"mass_inertia_scale",0.1,0,1,2.25588226,4,0.977529084,0.000000003,0.000245935,50,0,50,2.25588226,2.27336,1,0.3193542,0.130375806,0.160689075,0.239781578,0.321363594,55.323751646,0.391989352,1,""
"ur10","TetraPGA",4,20260624,6,50,25,"mass_inertia_scale",0.2,0,1,2.28481928,4,0.977529084,0.000000003,0.000245935,50,0,50,2.28481928,2.846595,1,0.581366192,0.237341754,0.210968526,0.339295507,0.321213982,59.467634738,0.426222927,1,""
"ur10","TetraPGA",4,20260624,6,50,25,"mass_inertia_scale",0.3,0,1,2.02754508,4,0.977529084,0.000000003,0.000245935,50,0,50,2.02754508,2.299973,1,0.895616762,0.365634012,0.274159107,0.542697854,0.50287015,63.344603069,0.458533437,0,""
"ur10","TetraPGA",4,20260624,6,50,25,"com_offset",0.01,0,1,1.81065702,4,0.977529084,0.000000003,0.000245935,50,0,50,1.81065702,2.803918,1,1.197297249,0.488794555,0.445078294,1.146007403,5.445704545,50.91652303,0.374766546,0,""
"ur10","TetraPGA",4,20260624,6,50,25,"com_offset",0.02,0,1,1.7703778,4,0.977529084,0.000000003,0.000245935,50,0,50,1.7703778,2.248915,1,1.284121273,0.524240314,0.495210503,1.367059097,8.789518875,50.919233367,0.374766546,0,""
"ur10","TetraPGA",4,20260624,6,50,25,"com_offset",0.05,0,1,1.7971527,4,0.977529084,0.000000003,0.000245935,50,0,50,1.7971527,3.082245,1,1.369327275,0.559025519,0.538215099,1.664426427,12.63917917,50.930338316,0.374766546,0,""
"ur10","TetraPGA",4,20260624,6,50,25,"external_force",5,0,1,2.0431211,4,0.977529084,0.000000003,0.000245935,50,0,50,2.0431211,2.262827,1,0.12563637,0.051290833,0.126696793,0.243325147,0.411834337,50.918406538,0.374766546,1,""
"ur10","TetraPGA",4,20260624,6,50,25,"external_force",10,0,1,2.03511392,4,0.977529084,0.000000003,0.000245935,50,0,50,2.03511392,2.274333,1,0.130036,0.053086975,0.12714079,0.268132074,0.756407292,50.918479235,0.374766546,1,""
"ur10","TetraPGA",5,20260624,6,50,25,"nominal",0,0,1,1.77899432,4,0.894727208,0.000000011,0.000194805,50,0,50,1.77899432,2.268359,1,0.106540013,0.043494778,0.107048035,0.257804898,0.325683443,49.072642129,0.358595504,1,""
"ur10","TetraPGA",5,20260624,6,50,25,"mass_inertia_scale",-0.3,0,1,1.76760684,4,0.894727208,0.000000011,0.000194805,50,0,50,1.76760684,2.254042,1,0.54641862,0.223074467,0.176992544,0.537562632,0.609062521,35.243218459,0.27963978,1,""
"ur10","TetraPGA",5,20260624,6,50,25,"mass_inertia_scale",-0.2,0,1,1.7701241,4,0.894727208,0.000000011,0.000194805,50,0,50,1.7701241,2.257131,1,0.357419285,0.145915812,0.141521755,0.462841553,0.434821505,40.031335311,0.28442437,1,""
"ur10","TetraPGA",5,20260624,6,50,25,"mass_inertia_scale",-0.1,0,1,1.78674874,4,0.894727208,0.000000011,0.000194805,50,0,50,1.78674874,2.271062,1,0.202237715,0.082563201,0.117841321,0.367677721,0.328975397,44.659692264,0.321766665,1,""
"ur10","TetraPGA",5,20260624,6,50,25,"mass_inertia_scale",0.1,0,1,1.76309468,4,0.894727208,0.000000011,0.000194805,50,0,50,1.76309468,2.263165,1,0.196806093,0.080345751,0.111585526,0.30807015,0.400275059,53.22806305,0.393922869,1,""
"ur10","TetraPGA",5,20260624,6,50,25,"mass_inertia_scale",0.2,0,1,1.76764128,4,0.894727208,0.000000011,0.000194805,50,0,50,1.76764128,2.262392,1,0.425404683,0.173670735,0.13678868,0.435526061,0.571063193,57.101080574,0.42737647,1,""
"ur10","TetraPGA",5,20260624,6,50,25,"mass_inertia_scale",0.3,0,1,1.77121622,4,0.894727208,0.000000011,0.000194805,50,0,50,1.77121622,2.259029,1,0.739647029,0.301959635,0.184601263,0.553232554,0.825213179,60.685192458,0.458827797,0,""
"ur10","TetraPGA",5,20260624,6,50,25,"com_offset",0.01,0,1,1.77356822,4,0.894727208,0.000000011,0.000194805,50,0,50,1.77356822,2.262982,1,2.069677636,0.844942357,0.622304893,2.150129172,4.931016317,49.078685377,0.358584105,0,""
"ur10","TetraPGA",5,20260624,6,50,25,"com_offset",0.02,0,1,1.77180812,4,0.894727208,0.000000011,0.000194805,50,0,50,1.77180812,2.250998,1,2.241315663,0.915013288,0.796638141,2.597973476,9.32674933,49.081660724,0.359190459,0,""
"ur10","TetraPGA",5,20260624,6,50,25,"com_offset",0.05,0,1,1.7684051,4,0.894727208,0.000000011,0.000194805,50,0,50,1.7684051,2.259013,1,2.411358162,0.984432847,0.934831654,3.268080342,16.738328897,49.087879766,0.359575686,0,""
"ur10","TetraPGA",5,20260624,6,50,25,"external_force",5,0,1,1.76234204,4,0.894727208,0.000000011,0.000194805,50,0,50,1.76234204,2.258645,1,0.197251827,0.080527721,0.117892135,0.257819219,3.610097379,49.073714085,0.358595504,1,""
"ur10","TetraPGA",5,20260624,6,50,25,"external_force",10,0,1,1.747659,4,0.894727208,0.000000011,0.000194805,50,0,50,1.747659,2.254162,1,0.398407667,0.162649249,0.161738713,0.51907921,7.094604247,49.074743223,0.358595504,1,""
"ur10","TetraPGA",6,20260624,6,50,25,"nominal",0,0,1,1.73146478,4,0.98432356,0,0.000233572,50,0,50,1.73146478,2.262922,1,0.121465984,0.049588281,0.12606089,0.181019245,0.475429766,51.067455121,0.360987096,1,""
"ur10","TetraPGA",6,20260624,6,50,25,"mass_inertia_scale",-0.3,0,1,1.77873664,4,0.98432356,0,0.000233572,50,0,50,1.77873664,2.262682,1,0.724640176,0.295833113,0.225560725,0.361734749,0.531852118,36.128245023,0.360271793,1,""
"ur10","TetraPGA",6,20260624,6,50,25,"mass_inertia_scale",-0.2,0,1,1.79048708,4,0.98432356,0,0.000233572,50,0,50,1.79048708,2.277414,1,0.465230702,0.189929639,0.175833457,0.246054543,0.39300854,41.228099992,0.360271793,1,""
"ur10","TetraPGA",6,20260624,6,50,25,"mass_inertia_scale",-0.1,0,1,1.85988222,4,0.98432356,0,0.000233572,50,0,50,1.85988222,3.653045,1,0.250937287,0.102444718,0.141436334,0.180955949,0.440162018,46.231762189,0.360271793,1,""
"ur10","TetraPGA",6,20260624,6,50,25,"mass_inertia_scale",0.1,0,1,1.82269512,4,0.98432356,0,0.000233572,50,0,50,1.82269512,2.274998,1,0.215387385,0.087931532,0.131814158,0.181071032,0.48547264,55.675830788,0.398631771,1,""
"ur10","TetraPGA",6,20260624,6,50,25,"mass_inertia_scale",0.2,0,1,2.0038743,4,0.98432356,0,0.000233572,50,0,50,2.0038743,2.257233,1,0.428205129,0.174814012,0.158426768,0.274578376,0.473569997,60.021737571,0.4352316,1,""
"ur10","TetraPGA",6,20260624,6,50,25,"mass_inertia_scale",0.3,0,1,1.78743296,4,0.98432356,0,0.000233572,50,0,50,1.78743296,2.252931,1,0.703207402,0.28708322,0.203275211,0.394494261,0.560083546,64.090524719,0.469869,1,""
"ur10","TetraPGA",6,20260624,6,50,25,"com_offset",0.01,0,1,1.69321942,4,0.98432356,0,0.000233572,50,0,50,1.69321942,2.249477,1,0.888137552,0.362580637,0.320894518,0.997231881,2.634334272,51.061256868,0.360953953,0,""
"ur10","TetraPGA",6,20260624,6,50,25,"com_offset",0.02,0,1,1.675939,4,0.98432356,0,0.000233572,50,0,50,1.675939,2.258911,1,1.002176255,0.409136743,0.372392079,1.110564933,4.53654375,51.05804003,0.360990795,0,""
"ur10","TetraPGA",6,20260624,6,50,25,"com_offset",0.05,0,1,1.65045194,4,0.98432356,0,0.000233572,50,0,50,1.65045194,2.245071,1,1.061335887,0.433288562,0.414817676,1.332491682,7.79230412,51.051827628,0.361258488,0,""
"ur10","TetraPGA",6,20260624,6,50,25,"external_force",5,0,1,1.7293679,4,0.98432356,0,0.000233572,50,0,50,1.7293679,2.25434,1,0.124077555,0.05065445,0.126388947,0.181019245,0.475429766,51.067170612,0.360987096,1,""
"ur10","TetraPGA",6,20260624,6,50,25,"external_force",10,0,1,1.72217526,4,0.98432356,0,0.000233572,50,0,50,1.72217526,2.263257,1,0.127230504,0.051941636,0.126779624,0.181019245,0.475429766,51.066892601,0.360987096,1,""
"ur10","TetraPGA",7,20260624,6,50,25,"nominal",0,0,1,1.81721188,4,1.055648638,0.000000001,0.000310523,50,0,50,1.81721188,2.261069,1,0.158772696,0.064818682,0.15195522,0.212381585,0.406901362,50.829629278,0.396349184,1,""
