condition,direction,rmse_rad,mean_error_rad,mean_torque_ratio,num_cycles
Nominal,,0.178338288,0.174444517,0.113355363,900
5 N force,x,0.178182375,0.174330582,0.0983179313,900
10 N force,y,0.17865266,0.17438732,0.192491588,900
20 N force,z,0.183749062,0.1797846,0.343582242,900
