model,dof,seed,sample_id,d_safe,obstacle_count,success,failed,cost,stop,iter,solve_ms,initial_min_distance,final_min_distance,trajectory_min_distance,safety_violation_count,collision_violation_count,placement_error_norm,path_length,jerk_rms,torque_rate_rms,failure_message
ur10,6,2099633610,17,0.05,2,0,0,924.51890847,0.014560974,100,96.892095,0.245745987,0.065554329,0.065554329,0,0,0.424297198,3.285447751,51028.521850102,10194.893455298,""
ur10,6,2099633609,18,0.05,2,0,0,568.507316049,0.000635155,100,95.496355,0.224527625,0.102137245,0.102137245,0,0,0.508088029,2.780048196,29960.567420681,7365.427618676,""
ur10,6,2099633608,19,0.05,2,0,0,819.628021166,0.082775637,100,99.795194,0.465799772,0.163597079,0.157689681,0,0,0.359262478,2.497633201,73332.336797381,8490.481305214,""
ur10,6,2099586700,0,0.05,4,0,0,2653.325434721,0.002419187,100,96.301078,0.215963427,0.176448491,0.138279092,0,0,0.842841372,2.998721724,25230.427756793,15595.952553541,""
ur10,6,2099586703,1,0.05,4,1,0,2973.975769333,0.000000141,66,65.750171,0.231402081,0.108809371,0.042765051,6,0,0.384880383,3.481920591,14872.114744762,9928.055517436,""
ur10,6,2099586702,2,0.05,4,1,0,2757.971364655,0.000000175,99,99.649129,0.266465276,0.110540553,0.044963734,6,0,0.35455016,3.193360893,25963.794705634,7138.450754642,""
ur10,6,2099586737,3,0.05,4,1,0,1401.521275883,0.000000029,96,90.569048,0.215721883,0.085395427,0.083334546,0,0,1.005193386,3.117631904,11928.706571644,13647.902269232,""
ur10,6,2099586736,4,0.05,4,0,0,3168.376044316,0.00244399,100,93.31332,0.274635803,0.148082669,0.083519178,0,0,0.859944534,3.334470047,40814.419583705,5579.31629509,""
ur10,6,2099586739,5,0.05,4,0,0,2698.283228397,0.000560745,100,93.710203,0.360415112,0.190458298,0.18970035,0,0,1.170502721,3.862441958,20618.025075133,15660.256298238,""
ur10,6,2099586738,6,0.05,4,0,0,2046.031066382,1.611376878,100,98.595641,0.357317426,0.123291142,0.123291142,0,0,0.598597102,3.36224398,67736.255442357,7044.471951295,""
