d_safe,obstacle_count,num_samples,solver_success_rate,failed_rate,collision_free_rate,safety_satisfied_rate,mean_solve_ms,median_solve_ms,mean_initial_min_distance,mean_final_min_distance,mean_trajectory_min_distance,min_trajectory_min_distance,mean_safety_violation_count,mean_collision_violation_count,mean_placement_error_norm,median_placement_error_norm,mean_path_length,mean_jerk_rms,mean_torque_rate_rms
0.03,2,20,0.05,0.0,0.8,0.8,95.63214855,96.7128245,0.3074848274,0.0813600585,0.0696313795,-0.085575137,6.0,4.45,0.5601179364,0.534037686,2.9100270755,36278.22626950055,8367.9118629093
0.03,4,20,0.15,0.0,0.8,0.65,93.8438937,98.6960715,0.28696971155,0.1025799104,0.0662540005,-0.073791784,3.9,2.25,0.7202693468,0.6373526555,3.39685465425,36941.37804168195,10415.14091777495
0.03,8,20,0.15,0.0,0.5,0.3,102.23768485000001,104.090384,0.2567928917,0.058315995649999994,-0.00586224595,-0.088412124,21.4,11.15,0.770152562,0.6138087345000001,3.5960471863000003,39591.5136048724,10802.419459001449
0.03,16,20,0.35,0.0,0.25,0.1,105.41970054999999,111.1945695,0.22834877969999998,0.01001904255,-0.03459528525,-0.098442197,45.6,23.5,1.03573818725,0.8942790709999999,4.03785616465,24930.54933675955,12773.56593999725
0.05,2,20,0.05,0.0,0.85,0.65,94.4717761,95.60862900000001,0.3074848274,0.09763599,0.08293379105000001,-0.083235884,8.2,3.95,0.5449324243,0.5227974265,2.8701874060000003,37732.8894694274,8465.1576410658
0.05,4,20,0.25,0.0,0.8,0.5,95.8335558,96.647389,0.28696971155,0.10738268740000001,0.07252632005000001,-0.068715459,6.45,2.0,0.6980863085,0.6004059020000001,3.3710300752999998,36105.47122266775,10981.3283760266
0.05,8,20,0.25,0.0,0.4,0.25,97.61168649999999,102.426804,0.2567928917,0.0628640704,-0.007641148150000001,-0.083019765,26.8,8.8,0.7884667317,0.5962491525,3.5796691619999996,35495.550947183954,11859.297846582149
0.05,16,20,0.2,0.0,0.25,0.05,109.876889,112.0032095,0.22834877969999998,0.008141008500000001,-0.0326926572,-0.100425548,63.35,22.1,0.9704751838,0.8714845245,4.04284742615,22664.8662864755,12836.6488484281
0.08,2,20,0.1,0.0,0.8,0.5,93.70785889999999,95.0569365,0.3074848274,0.09667905285,0.08297174505,-0.088399732,13.25,4.15,0.5227501468,0.5061461745,2.84754017195,40130.412608858096,8738.491057734149
0.08,4,20,0.35,0.0,0.8,0.5,90.82681790000001,95.68073150000001,0.28696971155,0.11425999485,0.0796329982,-0.063074185,12.25,1.5,0.68533402935,0.581125415,3.3304342696,29205.67417239845,10478.9877194064
0.08,8,20,0.3,0.0,0.45,0.05,99.93119175000001,101.849683,0.2567928917,0.05901546950000001,-0.00960770715,-0.083896419,46.05,8.6,0.73665863335,0.5750937465,3.5027092306,36524.9286229563,11686.7829710266
0.08,16,20,0.3,0.0,0.3,0.05,106.81717284999999,111.395587,0.22834877969999998,0.01209273915,-0.02874247535,-0.102140128,98.2,20.7,0.98600418725,0.9325383355,3.99168589825,28243.8712764437,12989.43868436395
0.1,2,20,0.15,0.0,0.85,0.45,93.42692855,93.6463425,0.3074848274,0.1062479918,0.08775786515,-0.076281173,17.0,3.8,0.4697781402,0.42858552299999997,2.8200978064,39799.0326052495,8679.27356305475
0.1,4,20,0.25,0.0,0.85,0.4,94.45491165,97.38177350000001,0.28696971155,0.11887775814999998,0.08388146845,-0.067469913,17.3,1.25,0.71477453325,0.6601407635000001,3.3148927225,29898.073430472647,10618.5243087905
0.1,8,20,0.25,0.0,0.5,0.05,97.5490307,102.946833,0.2567928917,0.06672862545,-0.0076805968500000005,-0.086740197,62.3,8.55,0.80216037075,0.620866603,3.5039525024,33331.5149876623,11970.92971316745
0.1,16,20,0.4,0.0,0.3,0.0,105.65951505000001,112.7994745,0.22834877969999998,0.01841660345,-0.028419567550000004,-0.098466185,124.05,20.7,0.9733114489,0.9284866625,3.99409912445,27320.652102394448,12581.0912330756
0.15,2,20,0.1,0.0,0.85,0.35,94.55200735,95.298183,0.3074848274,0.11657169060000001,0.09807300355000001,-0.078612867,27.45,3.4,0.44452607034999997,0.408170515,2.80008397125,43896.337839059,7974.4351850176
0.15,4,20,0.35,0.0,0.85,0.15,93.290508,97.470703,0.28696971155,0.12743763795000002,0.09491355605,-0.044477765,31.85,0.9,0.64709242665,0.5492626765,3.2348043978,28299.870391059398,10092.544706369601
0.15,8,20,0.25,0.0,0.45,0.0,100.63380495,103.7745165,0.2567928917,0.07415214290000001,-0.0014510944500000001,-0.101258166,102.3,7.4,0.8070443023999999,0.7498449275,3.46377359445,32994.39236054515,12200.55879978325
0.15,16,20,0.25,0.0,0.35,0.0,110.16185929999999,112.9290575,0.22834877969999998,0.02580108655,-0.024640549050000002,-0.090238909,225.4,19.15,0.8828154718000001,0.7835682245,3.8882181000000005,26253.6440165046,12898.71401458475
