model,dof,seed,sample_id,d_safe,obstacle_count,success,failed,cost,stop,iter,solve_ms,initial_min_distance,final_min_distance,trajectory_min_distance,safety_violation_count,collision_violation_count,placement_error_norm,path_length,jerk_rms,torque_rate_rms,failure_message
ur10,6,2099587518,3,0.05,16,0,0,2560.390296554,0.044063716,80,94.429455,-0.067546421,-0.171505055,-0.172386933,358,234,0.747440441,3.203904705,14118.345884861,9461.490469169,""
ur10,6,2099587513,4,0.05,16,0,0,2410.581057062,0.023452985,80,93.787199,-0.119001913,-0.061710099,-0.130636043,167,73,0.50147521,3.203251163,49667.444887957,8650.044201991,""
ur10,6,2099586700,0,0.08,4,0,0,275.31865068,0.053276629,80,78.961447,-0.070158507,0.144733454,-0.082274808,58,21,0.23668898,2.457368849,41792.560549433,7187.380867066,""
ur10,6,2099586703,1,0.08,4,0,0,574.509011615,0.002345394,80,79.21914,0.044668864,-0.015788013,-0.031269452,155,61,0.396181223,2.979575134,53680.06777944,7743.378924404,""
ur10,6,2099586702,2,0.08,4,0,0,599.6172279,0.003603192,80,81.479815,0.232593805,0.072085139,0.013362402,25,0,0.26477233,2.820676009,71617.95914245,4219.550449796,""
ur10,6,2099586737,3,0.08,4,0,0,349.785674402,0.03001418,80,79.244364,0.034071589,0.072371804,-0.05969246,128,33,0.569554901,3.072142921,16974.671969183,9709.770611419,""
ur10,6,2099586736,4,0.08,4,0,0,507.004179897,0.001703865,80,79.099095,0.124558241,0.120762077,0.099539291,0,0,0.338610937,2.623308802,7316.056606654,4200.887475373,""
ur10,6,2099586955,0,0.08,8,0,0,1064.194281707,0.079340274,80,82.244338,-0.023342951,-0.07272148,-0.075438414,213,98,0.424847784,3.234948458,13304.854282974,10030.217711524,""
ur10,6,2099586954,1,0.08,8,0,0,1144.723695213,0.065934526,80,90.606483,0.141857778,0.032894355,-0.065261793,78,19,0.419283858,3.002242878,29338.430686578,9759.121917284,""
ur10,6,2099586997,2,0.08,8,0,0,1509.939736596,0.000061501,80,81.683767,0.003204609,0.008149807,-0.107756438,204,87,0.373689759,3.077098396,30762.873439635,12268.129920028,""
ur10,6,2099586996,3,0.08,8,0,0,909.206137067,1.073216425,80,86.195861,-0.036658883,-0.061804172,-0.096590585,200,58,0.39263565,3.19408739,44654.923554625,9441.918324264,""
ur10,6,2099586999,4,0.08,8,0,0,929.671954312,2.718378814,80,83.395055,0.036749044,-0.072741469,-0.072741469,147,38,0.912197115,3.27487898,7717.198556474,10559.485291001,""
ur10,6,2099587517,0,0.08,16,0,0,2944.634281415,3.070627443,80,93.92861,0.015326761,0.026244635,-0.082836467,164,60,0.514539675,3.282829073,44538.368350154,8440.489759332,""
ur10,6,2099587516,1,0.08,16,1,0,2267.101853757,0.000000734,46,50.267348,-0.077990625,-0.134491896,-0.134491896,309,118,0.4314374,2.969284336,7323.020918388,11914.639174699,""
ur10,6,2099587519,2,0.08,16,0,0,2075.781013803,0.011760725,80,96.90559,-0.05606056,-0.007288007,-0.072126655,322,120,1.187071777,3.280147542,25246.298721349,9396.283396605,""
ur10,6,2099587518,3,0.08,16,0,0,2240.947183789,0.011699507,80,95.067234,-0.067546421,-0.171723417,-0.171723417,452,228,0.726974637,3.183199223,17954.062328231,8788.390116757,""
ur10,6,2099587513,4,0.08,16,0,0,2070.113736079,0.05858294,80,91.994381,-0.119001913,-0.057987263,-0.130406003,239,71,0.489490313,3.149311407,34001.873490113,10951.8846482,""
ur10,6,2099586700,0,0.1,4,0,0,235.895801967,0.0069458,80,78.263594,-0.070158507,0.151637773,-0.082578764,75,19,0.235365569,2.474639222,34090.003695686,7861.866026205,""
ur10,6,2099586703,1,0.1,4,0,0,523.480118473,0.00014039,80,82.57146,0.044668864,-0.015622442,-0.029648847,188,59,0.38990865,2.972087753,50749.457677934,8146.070029955,""
ur10,6,2099586702,2,0.1,4,0,0,539.668130741,0.008195089,80,82.421575,0.232593805,0.078847268,0.016152141,27,0,0.263839228,2.814189017,60211.58502009,4556.732617795,""
ur10,6,2099586737,3,0.1,4,0,0,314.80708303,0.167623267,80,79.153979,0.034071589,0.083156999,-0.058376895,137,32,0.551365493,3.035969898,43327.317191614,7984.124129282,""
ur10,6,2099586736,4,0.1,4,0,0,453.626277513,0.000596371,80,78.721604,0.124558241,0.120432721,0.099544334,3,0,0.334017628,2.640575458,9980.036948299,4013.219972368,""
ur10,6,2099586955,0,0.1,8,0,0,974.739659477,0.004112634,80,81.986726,-0.023342951,-0.072879419,-0.072879419,252,93,0.420705825,3.220354472,25476.872725358,10635.417746872,""
ur10,6,2099586954,1,0.1,8,1,0,1040.84083335,0.000000125,77,83.850415,0.141857778,0.042288281,-0.064642265,119,20,0.417805085,2.979698206,12505.801484406,9798.104619998,""
ur10,6,2099586997,2,0.1,8,0,0,1388.767252567,0.164781313,80,89.290444,0.003204609,0.034504603,-0.107613656,219,86,0.36515328,3.042722824,32930.445737134,4324.412310402,""
ur10,6,2099586996,3,0.1,8,0,0,822.157420749,0.424610079,80,92.190124,-0.036658883,-0.06420848,-0.096412144,251,60,0.387175646,3.15238421,27687.443641699,8359.878265987,""
