model,dof,seed,sample_id,d_safe,obstacle_count,success,failed,cost,stop,iter,solve_ms,initial_min_distance,final_min_distance,trajectory_min_distance,safety_violation_count,collision_violation_count,placement_error_norm,path_length,jerk_rms,torque_rate_rms,failure_message
ur10,6,2099587518,3,0.05,16,0,0,6239.015303243,0.000013785,80,85.736831,0.128190555,-0.046660339,-0.056430911,73,33,1.046928511,3.633852705,9634.215363165,12516.829312659,""
ur10,6,2099587513,4,0.05,16,0,0,4858.683262346,0.316067669,80,95.195595,0.220743815,-0.055949265,-0.055949265,59,18,0.641191015,3.423561873,53921.416456011,10974.331679766,""
ur10,6,2099586700,0,0.08,4,0,0,1152.41295087,0.128180501,80,78.069841,0.186631017,0.159525577,0.120114251,0,0,0.650833451,2.855609187,23040.487642171,9956.856227357,""
ur10,6,2099586703,1,0.08,4,0,0,1324.34674681,0.044573282,80,78.794481,0.159985773,-0.01347371,-0.087331188,69,42,0.39366209,3.284630821,13887.618053229,9337.285819371,""
ur10,6,2099586702,2,0.08,4,0,0,1156.835512428,0.0001024,80,77.289305,0.267804631,0.10326922,0.037450499,18,0,0.293226812,2.925534176,32532.845536657,5449.739162729,""
ur10,6,2099586737,3,0.08,4,0,0,420.512839176,0.000212535,80,78.830985,0.139362289,-0.013263319,-0.013263319,51,2,0.381463556,2.749615695,60555.241293071,7695.505169821,""
ur10,6,2099586736,4,0.08,4,0,0,969.739247672,0.172896723,80,79.6459,0.151674318,0.136959371,0.119299324,0,0,0.444354579,2.733575,16128.344746512,4761.354176197,""
ur10,6,2099586955,0,0.08,8,0,0,1990.184807509,0.016637409,80,84.359959,0.200110123,0.024529066,-0.111202977,98,38,0.468535689,3.484841118,48601.096708495,10738.404823903,""
ur10,6,2099586954,1,0.08,8,0,0,2095.673271395,0.00001966,80,83.580494,0.222359098,0.03380705,-0.057528163,63,11,0.43450355,3.083371093,28303.006973267,12722.422227407,""
ur10,6,2099586997,2,0.08,8,0,0,2608.79670682,2.274043826,80,83.747456,0.140455373,0.062399621,0.055285242,18,0,0.388728369,3.414284495,12469.227566848,11132.117031363,""
ur10,6,2099586996,3,0.08,8,0,0,2621.39577236,0.008044348,80,81.765306,0.159964007,0.02256816,-0.000561285,41,1,0.402671494,3.494059563,25879.829276691,12561.327410028,""
ur10,6,2099586999,4,0.08,8,0,0,2333.84150676,0.252382958,80,87.392515,0.130885654,-0.037832613,-0.037832613,67,11,0.959109549,3.568952534,3855.652880321,10421.685640845,""
ur10,6,2099587517,0,0.08,16,0,0,5241.819833428,0.182858643,80,95.00475,0.141843715,-0.036663374,-0.115896114,159,56,0.621667083,3.71479632,20312.227877092,12207.753442365,""
ur10,6,2099587516,1,0.08,16,1,0,4459.056521698,0.000000102,58,62.962167,0.137448858,-0.074627957,-0.101765929,108,46,0.516067032,3.364889057,10677.62021652,11683.199010929,""
ur10,6,2099587519,2,0.08,16,0,0,4195.74080533,0.000137245,80,91.92343,0.16873748,-0.035159491,-0.049862304,103,34,1.399835623,3.779612443,11536.495799453,7796.108753469,""
ur10,6,2099587518,3,0.08,16,0,0,5497.400370552,0.000036552,80,87.184956,0.128190555,-0.052280869,-0.0571013,106,30,1.030016147,3.607404606,33075.093383253,12755.793873984,""
ur10,6,2099587513,4,0.08,16,0,0,4231.011371285,0.210096671,80,88.853065,0.220743815,-0.056873452,-0.056873452,93,20,0.625269938,3.3562675,40953.332213301,14892.704264174,""
ur10,6,2099586700,0,0.1,4,0,0,1047.779918243,1.004898824,80,77.454635,0.186631017,0.160707466,0.122046062,0,0,0.632897987,2.812555253,38469.400206648,7373.294258751,""
ur10,6,2099586703,1,0.1,4,1,0,1226.582015739,0.000000025,77,74.305452,0.159985773,-0.019978394,-0.09276148,74,43,0.393152638,3.272033657,12239.96576214,9173.624466224,""
ur10,6,2099586702,2,0.1,4,0,0,1047.994748974,0.012411376,80,79.216429,0.267804631,0.11526373,0.047448181,22,0,0.290652354,2.913603467,53714.107306757,4654.884315374,""
ur10,6,2099586737,3,0.1,4,0,0,364.061142771,0.063448728,80,77.920098,0.139362289,-0.00522201,-0.00522201,61,1,0.38004656,2.728942098,74545.544495162,7683.814758867,""
ur10,6,2099586736,4,0.1,4,0,0,872.680141035,0.001237547,80,81.571166,0.151674318,0.149328599,0.126677093,0,0,0.40069983,2.753272075,22792.119608981,4422.403775192,""
ur10,6,2099586955,0,0.1,8,0,0,1829.088044177,0.439863287,80,92.864576,0.200110123,0.022300323,-0.12133238,124,34,0.464896389,3.485048055,49622.252810582,8486.70007569,""
ur10,6,2099586954,1,0.1,8,0,0,1911.453714967,4.443414065,80,84.891383,0.222359098,0.042543467,-0.052985067,83,13,0.433686957,3.113432274,63847.587134329,9460.18860801,""
ur10,6,2099586997,2,0.1,8,0,0,2397.72257699,0.004268651,80,85.246914,0.140455373,0.066354311,0.06063173,31,0,0.387138421,3.411996044,15686.670433126,11116.647073486,""
ur10,6,2099586996,3,0.1,8,0,0,2408.759114009,0.031639876,80,84.117371,0.159964007,0.025949832,-0.005319167,48,5,0.398899004,3.47407824,22675.096695801,12681.727069769,""
ur10,6,2099586999,4,0.1,8,0,0,2149.04789797,0.070960227,80,82.296113,0.130885654,-0.033339021,-0.033339021,79,8,0.955308868,3.540783294,4407.610713758,11709.008838734,""
ur10,6,2099587517,0,0.1,16,0,0,4803.151148052,0.1540558,80,92.568117,0.141843715,-0.037827139,-0.114068741,190,57,0.617892463,3.690090818,20809.338685247,11690.641983027,""
ur10,6,2099587516,1,0.1,16,1,0,4065.530448936,0.000000104,55,60.924753,0.137448858,-0.076190192,-0.105721229,143,46,0.500223003,3.343973297,9958.164437591,11622.317245021,""
ur10,6,2099587519,2,0.1,16,0,0,3809.576559399,0.564013286,80,94.100515,0.16873748,-0.030312447,-0.042268962,127,33,1.390230247,3.744719296,11148.953732241,11610.485647327,""
ur10,6,2099587518,3,0.1,16,0,0,5049.946513828,0.07193975,80,98.473383,0.128190555,-0.048602539,-0.048602539,136,29,1.003009982,3.576619566,31734.74943821,16210.82481532,""
ur10,6,2099587513,4,0.1,16,0,0,3849.42594503,2.405369004,80,99.18073,0.220743815,-0.057852848,-0.057852848,153,23,0.620613144,3.386211129,76951.839886108,13111.08869515,""
ur10,6,2099586700,0,0.15,4,0,0,803.627362048,0.195205342,80,80.013316,0.186631017,0.16475107,0.126450883,24,0,0.576974383,2.811865678,40800.491366745,7799.060000429,""
ur10,6,2099586703,1,0.15,4,1,0,1004.695630642,0.000000128,74,74.838548,0.159985773,-0.030810043,-0.104581386,96,44,0.390349374,3.243162317,13104.131976005,8954.861397322,""
ur10,6,2099586702,2,0.15,4,0,0,804.756750443,0.015695936,80,85.551883,0.267804631,0.140085816,0.064239703,29,0,0.288659346,2.931607713,76416.483436946,4699.070270614,""
ur10,6,2099586737,3,0.15,4,0,0,247.29832063,0.073845881,80,77.30337,0.139362289,0.009526597,0.009526597,88,0,0.375513619,2.69728338,100067.722119076,7149.896993979,""
ur10,6,2099586736,4,0.15,4,0,0,660.501647762,0.117279906,80,81.433185,0.151674318,0.156269341,0.12668987,59,0,0.373424825,2.725079401,13756.007050828,4260.31297113,""
ur10,6,2099586955,0,0.15,8,0,0,1463.001440944,0.000332865,80,84.560862,0.200110123,0.017685326,-0.117962168,182,36,0.460769539,3.428228437,13281.528088911,13282.184497074,""
ur10,6,2099586954,1,0.15,8,0,0,1501.048518021,0.091843468,80,89.576402,0.222359098,0.063514736,-0.056730897,130,14,0.430598594,3.052713939,37394.828558884,11145.575315686,""
ur10,6,2099586997,2,0.15,8,0,0,1934.469360084,0.277421545,80,88.512238,0.140455373,0.078643678,0.070435355,135,0,0.37849705,3.417863777,55569.786838199,6741.449194725,""
ur10,6,2099586996,3,0.15,8,0,0,1928.34383193,0.011962628,80,84.795295,0.159964007,0.034857402,-0.014067995,91,9,0.391000201,3.420833793,21554.761293814,12255.286364844,""
ur10,6,2099586999,4,0.15,8,0,0,1737.353004814,0.014468539,80,79.852222,0.130885654,-0.023829554,-0.023829554,155,4,0.947689963,3.475328639,4144.396058242,10995.886587557,""
ur10,6,2099587517,0,0.15,16,0,0,3829.931070303,0.20771889,80,99.515807,0.141843715,-0.044047575,-0.115757513,314,52,0.565454812,3.573418164,53679.177765457,15332.475058849,""
ur10,6,2099587516,1,0.15,16,1,0,3191.343000147,0.000000206,78,89.482873,0.137448858,-0.075284919,-0.111273323,291,49,0.471372853,3.304317272,11275.598008836,12064.751147484,""
ur10,6,2099587519,2,0.15,16,0,0,2944.93940066,0.005215482,80,92.621973,0.16873748,-0.016698497,-0.059049417,209,34,1.348535666,3.624643931,17825.078866662,6902.025180896,""
ur10,6,2099587518,3,0.15,16,0,0,3994.848133395,1.317198619,80,90.725903,0.128190555,-0.051724762,-0.051724762,192,28,0.975064065,3.527442136,22214.857463446,13132.899158301,""
ur10,6,2099587513,4,0.15,16,0,0,3007.272474537,8.570174629,80,102.084437,0.220743815,-0.063867727,-0.066443831,231,28,0.617683205,3.423670196,91512.02404022,10760.936839457,""
